klasa	status_baza	fullName
REGRESJA	passed	02-interview-serwer.json | interviewAiReviewTimeoutFallback.pg.test.ts | evaluateSessionAnswers server-side timeout — real PostgreSQL HEADLINE: responds within the bound with an explicit, non-fabricated fallback — and the persisted answer is untouched
ZASTANA	failed	02-interview-serwer.json | interviewCandidateExactlyOnce.pg.test.ts | INT-BVP-001 — migration applies safely on pre-existing duplicates applies without error and leaves exactly one active row for the duplicated key
ZASTANA	failed	02-interview-serwer.json | interviewPublishedAssignmentDelivery.pg.test.ts | published interview assignment delivery (real PostgreSQL) upgrade quarantines historical duplicate sessions without rewriting them and blocks a third
ZASTANA	failed	05-initiatives-serwer.json | initiativeLifecycleCanon.test.ts | initiativeLifecycleCanon (P11) InitiativeController records audited status transitions (regression / P11 acceptance)
ZASTANA	failed	07-my-work-serwer.json | signals.routes.org-isolation.test.ts | GET /my-work/signals — organization isolation preserves the role filter and does not trust a query role
ZASTANA	failed	07-my-work-serwer.json | signals.routes.org-isolation.test.ts | GET /my-work/signals — organization isolation returns the own-org canonical signal and never a same-user foreign-org signal
ZASTANA	failed	08-meetings-serwer.json | meetingBoundaryMountedAuth.pg.test.ts | MTG-BVP-001 mounted production router with real auth and PostgreSQL creates agenda/materials metadata and proposes durable notes through real member auth
ZASTANA	failed	08-meetings-serwer.json | meetingBoundaryRoutes.pg.test.ts | meeting boundary — route layer (real Postgres) a regular member cannot approve/reject a note (403); an admin can
ZASTANA	failed	08-meetings-serwer.json | meetingBoundaryRoutes.pg.test.ts | meeting boundary — route layer (real Postgres) an invalid decision action is rejected 400
ZASTANA	failed	08-meetings-serwer.json | meetingBoundaryRoutes.pg.test.ts | meeting boundary — route layer (real Postgres) an unknown noteId is 404
ZASTANA	failed	08-meetings-serwer.json | meetingBoundaryRoutes.pg.test.ts | meeting boundary — route layer (real Postgres) generate-notes DEFAULT no longer auto-persists into decisions_json / meeting_follow_ups, and creates a proposal instead
ZASTANA	failed	08-meetings-serwer.json | meetingBoundaryRoutes.pg.test.ts | meeting boundary — route layer (real Postgres) generate-notes with persist:true fails closed and performs no direct legacy write
