slug,article_EN,article_PL,article_DE
01_why_dashboards_dont_fix_factories,01_why_dashboards_dont_fix_factories/article_EN.md,01_why_dashboards_dont_fix_factories/article_PL.md,01_why_dashboards_dont_fix_factories/article_DE.md
02_what_a_plant_operating_system_actually_means,02_what_a_plant_operating_system_actually_means/article_EN.md,02_what_a_plant_operating_system_actually_means/article_PL.md,02_what_a_plant_operating_system_actually_means/article_DE.md
03_why_mes_alone_is_no_longer_enough,03_why_mes_alone_is_no_longer_enough/article_EN.md,03_why_mes_alone_is_no_longer_enough/article_PL.md,03_why_mes_alone_is_no_longer_enough/article_DE.md
04_from_insight_to_task_to_action_closing_the_execution_loop,04_from_insight_to_task_to_action_closing_the_execution_loop/article_EN.md,04_from_insight_to_task_to_action_closing_the_execution_loop/article_PL.md,04_from_insight_to_task_to_action_closing_the_execution_loop/article_DE.md
05_why_plants_still_run_on_spreadsheets,05_why_plants_still_run_on_spreadsheets/article_EN.md,05_why_plants_still_run_on_spreadsheets/article_PL.md,05_why_plants_still_run_on_spreadsheets/article_DE.md
06_ai_native_operations_what_that_should_mean_in_practice,06_ai_native_operations_what_that_should_mean_in_practice/article_EN.md,06_ai_native_operations_what_that_should_mean_in_practice/article_PL.md,06_ai_native_operations_what_that_should_mean_in_practice/article_DE.md
07_how_to_unify_mes_wms_qms_and_cmms_without_replacing_everything,07_how_to_unify_mes_wms_qms_and_cmms_without_replacing_everything/article_EN.md,07_how_to_unify_mes_wms_qms_and_cmms_without_replacing_everything/article_PL.md,07_how_to_unify_mes_wms_qms_and_cmms_without_replacing_everything/article_DE.md
08_why_hidden_definitions_kill_kpi_alignment,08_why_hidden_definitions_kill_kpi_alignment/article_EN.md,08_why_hidden_definitions_kill_kpi_alignment/article_PL.md,08_why_hidden_definitions_kill_kpi_alignment/article_DE.md
09_the_cost_of_siloed_operational_systems,09_the_cost_of_siloed_operational_systems/article_EN.md,09_the_cost_of_siloed_operational_systems/article_PL.md,09_the_cost_of_siloed_operational_systems/article_DE.md
10_how_human_approval_makes_industrial_ai_more_useful,10_how_human_approval_makes_industrial_ai_more_useful/article_EN.md,10_how_human_approval_makes_industrial_ai_more_useful/article_PL.md,10_how_human_approval_makes_industrial_ai_more_useful/article_DE.md
11_how_to_build_a_real_time_kpi_system_for_your_factory,11_how_to_build_a_real_time_kpi_system_for_your_factory/article_EN.md,11_how_to_build_a_real_time_kpi_system_for_your_factory/article_PL.md,11_how_to_build_a_real_time_kpi_system_for_your_factory/article_DE.md
