slug,article_EN,article_PL,article_DE
01_why_traditional_consulting_is_broken,01_why_traditional_consulting_is_broken/article_EN.md,01_why_traditional_consulting_is_broken/article_PL.md,01_why_traditional_consulting_is_broken/article_DE.md
02_10_questions_before_buying_ai_consulting_platform,02_10_questions_before_buying_ai_consulting_platform/article_EN.md,02_10_questions_before_buying_ai_consulting_platform/article_PL.md,02_10_questions_before_buying_ai_consulting_platform/article_DE.md
03_first_30_minutes_in_consultify,03_first_30_minutes_in_consultify/article_EN.md,03_first_30_minutes_in_consultify/article_PL.md,03_first_30_minutes_in_consultify/article_DE.md
04_roi_calculator_guide,04_roi_calculator_guide/article_EN.md,04_roi_calculator_guide/article_PL.md,04_roi_calculator_guide/article_DE.md
05_ai_driven_swot,05_ai_driven_swot/article_EN.md,05_ai_driven_swot/article_PL.md,05_ai_driven_swot/article_DE.md
06_scenario_planning,06_scenario_planning/article_EN.md,06_scenario_planning/article_PL.md,06_scenario_planning/article_DE.md
07_competitive_intelligence,07_competitive_intelligence/article_EN.md,07_competitive_intelligence/article_PL.md,07_competitive_intelligence/article_DE.md
08_strategic_alignment,08_strategic_alignment/article_EN.md,08_strategic_alignment/article_PL.md,08_strategic_alignment/article_DE.md
09_data_first_strategy,09_data_first_strategy/article_EN.md,09_data_first_strategy/article_PL.md,09_data_first_strategy/article_DE.md
10_decision_latency,10_decision_latency/article_EN.md,10_decision_latency/article_PL.md,10_decision_latency/article_DE.md
11_strategic_reporting,11_strategic_reporting/article_EN.md,11_strategic_reporting/article_PL.md,11_strategic_reporting/article_DE.md
12_okr_management,12_okr_management/article_EN.md,12_okr_management/article_PL.md,12_okr_management/article_DE.md
13_why_board_updates_should_come_from_live_transformation_systems,13_why_board_updates_should_come_from_live_transformation_systems/article_EN.md,13_why_board_updates_should_come_from_live_transformation_systems/article_PL.md,13_why_board_updates_should_come_from_live_transformation_systems/article_DE.md
14_why_strategy_workshops_fail_without_execution_system,14_why_strategy_workshops_fail_without_execution_system/article_EN.md,14_why_strategy_workshops_fail_without_execution_system/article_PL.md,14_why_strategy_workshops_fail_without_execution_system/article_DE.md
15_how_to_keep_transformation_roi_visible_after_kickoff,15_how_to_keep_transformation_roi_visible_after_kickoff/article_EN.md,15_how_to_keep_transformation_roi_visible_after_kickoff/article_PL.md,15_how_to_keep_transformation_roi_visible_after_kickoff/article_DE.md
16_why_steering_committees_fail_when_the_system_is_static,16_why_steering_committees_fail_when_the_system_is_static/article_EN.md,16_why_steering_committees_fail_when_the_system_is_static/article_PL.md,16_why_steering_committees_fail_when_the_system_is_static/article_DE.md
17_why_transformation_programs_need_one_source_of_truth,17_why_transformation_programs_need_one_source_of_truth/article_EN.md,17_why_transformation_programs_need_one_source_of_truth/article_PL.md,17_why_transformation_programs_need_one_source_of_truth/article_DE.md
18_how_to_turn_leadership_decisions_into_owned_initiatives,18_how_to_turn_leadership_decisions_into_owned_initiatives/article_EN.md,18_how_to_turn_leadership_decisions_into_owned_initiatives/article_PL.md,18_how_to_turn_leadership_decisions_into_owned_initiatives/article_DE.md
19_why_transformation_portfolios_fail_without_live_prioritization,19_why_transformation_portfolios_fail_without_live_prioritization/article_EN.md,19_why_transformation_portfolios_fail_without_live_prioritization/article_PL.md,19_why_transformation_portfolios_fail_without_live_prioritization/article_DE.md
20_how_to_keep_leadership_alignment_after_the_offsite,20_how_to_keep_leadership_alignment_after_the_offsite/article_EN.md,20_how_to_keep_leadership_alignment_after_the_offsite/article_PL.md,20_how_to_keep_leadership_alignment_after_the_offsite/article_DE.md
21_how_to_defend_transformation_investment_with_live_value_evidence,21_how_to_defend_transformation_investment_with_live_value_evidence/article_EN.md,21_how_to_defend_transformation_investment_with_live_value_evidence/article_PL.md,21_how_to_defend_transformation_investment_with_live_value_evidence/article_DE.md
22_what_monthly_transformation_reviews_should_actually_decide,22_what_monthly_transformation_reviews_should_actually_decide/article_EN.md,22_what_monthly_transformation_reviews_should_actually_decide/article_PL.md,22_what_monthly_transformation_reviews_should_actually_decide/article_DE.md
23_how_to_run_quarterly_transformation_resets_without_losing_momentum,23_how_to_run_quarterly_transformation_resets_without_losing_momentum/article_EN.md,23_how_to_run_quarterly_transformation_resets_without_losing_momentum/article_PL.md,23_how_to_run_quarterly_transformation_resets_without_losing_momentum/article_DE.md
24_what_a_transformation_pmo_should_track_every_week,24_what_a_transformation_pmo_should_track_every_week/article_EN.md,24_what_a_transformation_pmo_should_track_every_week/article_PL.md,24_what_a_transformation_pmo_should_track_every_week/article_DE.md
