product,scope_type,asset_slug,role,source_prompt_path,source_status,generation_action,recommended_priority,is_archive,active_generation_target,output_dir,output_filename,meta_filename,usage
Consultify,blog,01_why_traditional_consulting_is_broken,hero,Consultify/Blog/01_why_traditional_consulting_is_broken/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/01_why_traditional_consulting_is_broken/assets/images,hero_16x9_v1.png,hero_16x9_v1.meta.json,website|social|newsletter
Consultify,blog,01_why_traditional_consulting_is_broken,analytical,Consultify/Blog/01_why_traditional_consulting_is_broken/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/01_why_traditional_consulting_is_broken/assets/images,analytical_16x9_v1.png,analytical_16x9_v1.meta.json,website|newsletter
Consultify,blog,01_why_traditional_consulting_is_broken,social,Consultify/Blog/01_why_traditional_consulting_is_broken/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/01_why_traditional_consulting_is_broken/assets/images,social_1x1_v1.png,social_1x1_v1.meta.json,website|social|newsletter
Consultify,blog,02_10_questions_before_buying_ai_consulting_platform,hero,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/assets/images,hero_16x9_v1.png,hero_16x9_v1.meta.json,website|social|newsletter
Consultify,blog,02_10_questions_before_buying_ai_consulting_platform,analytical,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/assets/images,analytical_16x9_v1.png,analytical_16x9_v1.meta.json,website|newsletter
Consultify,blog,02_10_questions_before_buying_ai_consulting_platform,social,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/assets/images,social_1x1_v1.png,social_1x1_v1.meta.json,website|social|newsletter
Consultify,blog,03_first_30_minutes_in_consultify,hero,Consultify/Blog/03_first_30_minutes_in_consultify/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/03_first_30_minutes_in_consultify/assets/images,hero_16x9_v1.png,hero_16x9_v1.meta.json,website|social|newsletter
Consultify,blog,03_first_30_minutes_in_consultify,analytical,Consultify/Blog/03_first_30_minutes_in_consultify/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/03_first_30_minutes_in_consultify/assets/images,analytical_16x9_v1.png,analytical_16x9_v1.meta.json,website|newsletter
Consultify,blog,03_first_30_minutes_in_consultify,social,Consultify/Blog/03_first_30_minutes_in_consultify/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/03_first_30_minutes_in_consultify/assets/images,social_1x1_v1.png,social_1x1_v1.meta.json,website|social|newsletter
Consultify,blog,04_roi_calculator_guide,hero,Consultify/Blog/04_roi_calculator_guide/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/04_roi_calculator_guide/assets/images,hero_16x9_v1.png,hero_16x9_v1.meta.json,website|social|newsletter
Consultify,blog,04_roi_calculator_guide,analytical,Consultify/Blog/04_roi_calculator_guide/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/04_roi_calculator_guide/assets/images,analytical_16x9_v1.png,analytical_16x9_v1.meta.json,website|newsletter
Consultify,blog,04_roi_calculator_guide,social,Consultify/Blog/04_roi_calculator_guide/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/04_roi_calculator_guide/assets/images,social_1x1_v1.png,social_1x1_v1.meta.json,website|social|newsletter
Consultify,blog,05_ai_driven_swot,hero,Consultify/Blog/05_ai_driven_swot/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/05_ai_driven_swot/assets/images,hero_16x9_v1.png,hero_16x9_v1.meta.json,website|social|newsletter
Consultify,blog,05_ai_driven_swot,analytical,Consultify/Blog/05_ai_driven_swot/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/05_ai_driven_swot/assets/images,analytical_16x9_v1.png,analytical_16x9_v1.meta.json,website|newsletter
Consultify,blog,05_ai_driven_swot,social,Consultify/Blog/05_ai_driven_swot/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/05_ai_driven_swot/assets/images,social_1x1_v1.png,social_1x1_v1.meta.json,website|social|newsletter
Consultify,blog,06_scenario_planning,hero,Consultify/Blog/06_scenario_planning/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/06_scenario_planning/assets/images,hero_16x9_v1.png,hero_16x9_v1.meta.json,website|social|newsletter
Consultify,blog,06_scenario_planning,analytical,Consultify/Blog/06_scenario_planning/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/06_scenario_planning/assets/images,analytical_16x9_v1.png,analytical_16x9_v1.meta.json,website|newsletter
Consultify,blog,06_scenario_planning,social,Consultify/Blog/06_scenario_planning/image-prompts.md,explicit,generate_now,P1,false,true,Consultify/Blog/06_scenario_planning/assets/images,social_1x1_v1.png,social_1x1_v1.meta.json,website|social|newsletter
