row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
AEV8-APPROVAL-03,docs/product/AGENT_EXECUTION_V8_SSOT.md,500,SSOT,ui,E4|E5|E9,"User must be able to approve one proposal, reject another, ask for revised plan, and keep the run open (partial approval is a required capability).",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-008,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,40,CANON,ui,E7|E2|E4|E10,"The primary workspace is 'Plan | Realizacja | Rezultaty'; these are projections of one Case, not separate stores or products. Plan defines result/nearest safe execution horizon; Realizacja shows what is happening/needs attention/who owns next move; Rezultaty exposes accepted deliverables, decisions, evidence, lineage and measured value.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-009,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,52,UI_STANDARD,ui,E7,"Lightweight UI doctrine: high information density with low visual weight; compact semantic elements and restrained borders; one dominant work surface; no permanent palette/configuration wall; contextual +/popover/drawer/command palette; progressive disclosure from business outcome to technical diagnostics; Simple/Expert/List views over one canonical graph; no current heavy builder promoted unchanged as expert target; mobile uses a semantically equivalent list, not a compressed desktop canvas.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-010,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,62,CANON,ui,E7|E8,Initial host of the Case Workspace is My Work; the workspace must not depend on My Work layout so it can later be embedded beside or inside the main Teresa Chat without creating another planner or runtime.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-OD10,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,31,OWNER_DECISION,ui,E7,"Owner decision: The default UI is lightweight. Governance, graph configuration and diagnostics use progressive disclosure.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-021,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,121,CANON,ui,E2|E6,"Every plan preview must show: selected autonomy level; actions Teresa may execute; actions requiring approval; scope, recipients, data and connections; time, cost and stop conditions; reversibility and audit behavior.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-023,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,134,CANON,ui,E7|E8,"Canonical entry points are: direct module action; My Work 'Nowe zlecenie'; a template/Play; an existing Idea, Finding, Assessment gap, Finance/KPI signal, Decision or Initiative; later, a free-form conversation with Teresa.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-026-INV13,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,166,CANON,ui,E7,Cross-mode invariant: My Work remains the shared attention system for direct and orchestrated work.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-001,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,11,UI_STANDARD,ui,E7,The lightweight Workspace must answer four questions before exposing implementation detail: What do we want to achieve? What is happening now? What needs attention? What results already exist?,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-002,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,18,UI_STANDARD,ui,E7,"Primary Polish IA is 'Plan | Realizacja | Rezultaty'; these are projections of one Case, not separate storage domains.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-003,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,28,UI_STANDARD,ui,E7,The first product surface lives inside the existing My Work shell and must preserve the frozen navigation and one Command Row rule.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-004,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,30,UI_STANDARD,ui,E7,"The current 'Run agent' surface becomes a 'Zlecenia' entry with: a list of Cases/Zlecenia; filters and saved views; one shared attention queue through My Work; entry to the lightweight Case Workspace; direct links to native module work; an explicit 'Widok zaawansowany' entry for process design. It must not add a second task inbox, second approvals inbox or second top-level toolbar.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-005,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,43,CANON,ui,E8,"Later, Teresa adds a conversational entry to the same objects: conversation -> proposed Zlecenie card -> plan review -> same Case Workspace. Chat does not receive a private planner, Run state or deliverable store.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-006,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,47,UI_STANDARD,ui,E7|E8,"On a wide desktop Teresa may be a contextual side panel. On narrower viewports 'Rozmowa | Zlecenie' are tabs, not an on/off toggle.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-007,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,51,UI_STANDARD,ui,E7,The Zlecenia list follows the existing list/table canon: desktop uses table plus preview; mobile uses equivalent cards/list rows.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-008,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,53,UI_STANDARD,ui,E7,"Required Zlecenia columns/row facts: name and expected outcome; type (one-step, flow, transformation); user-facing status; attention state; result progress (not merely node count); owner; next action; deadline; last activity.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-009,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,65,UI_STANDARD,ui,E7,Default Zlecenia priority order: requires my decision; blocked; overdue or expiring; active; recent.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-02-010,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,73,UI_STANDARD,ui,E7,Required Zlecenia saved views: 'Wymaga mojej uwagi'; 'Moje aktywne'; 'Zespół'; 'Szkice'; 'Zaplanowane'; 'Zakończone'.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
