slug,knowledge_layer
01_why_traditional_consulting_is_broken,Layer 2: Problem Deep Dives
02_10_questions_before_buying_ai_consulting_platform,Layer 4: Decision Support
03_first_30_minutes_in_consultify,Layer 5: Execution And Transformation
04_roi_calculator_guide,Layer 4: Decision Support
05_ai_driven_swot,Layer 5: Execution And Transformation
06_scenario_planning,Layer 4: Decision Support
07_competitive_intelligence,Layer 5: Execution And Transformation
08_strategic_alignment,Layer 5: Execution And Transformation
09_data_first_strategy,Layer 4: Decision Support
10_decision_latency,Layer 2: Problem Deep Dives
11_strategic_reporting,Layer 1: Field Reality
12_okr_management,Layer 2: Problem Deep Dives
13_why_board_updates_should_come_from_live_transformation_systems,Layer 4: Decision Support
14_why_strategy_workshops_fail_without_execution_system,Layer 2: Problem Deep Dives
15_how_to_keep_transformation_roi_visible_after_kickoff,Layer 4: Decision Support
16_why_steering_committees_fail_when_the_system_is_static,Layer 2: Problem Deep Dives
17_why_transformation_programs_need_one_source_of_truth,Layer 2: Problem Deep Dives
18_how_to_turn_leadership_decisions_into_owned_initiatives,Layer 3: Solution Logic
19_why_transformation_portfolios_fail_without_live_prioritization,Layer 5: Execution And Transformation
20_how_to_keep_leadership_alignment_after_the_offsite,Layer 3: Solution Logic
21_how_to_defend_transformation_investment_with_live_value_evidence,Layer 4: Decision Support
22_what_monthly_transformation_reviews_should_actually_decide,Layer 5: Execution And Transformation
23_how_to_run_quarterly_transformation_resets_without_losing_momentum,Layer 5: Execution And Transformation
24_what_a_transformation_pmo_should_track_every_week,Layer 5: Execution And Transformation
25_how_to_cut_dead_initiatives_without_political_drift,Layer 1: Field Reality
26_when_to_replan_a_transformation_portfolio_and_when_to_hold_course,Layer 3: Solution Logic
27_how_to_make_strategy_assumptions_visible_before_the_board_review,Layer 3: Solution Logic
28_why_transformation_capacity_breaks_before_strategy_does,Layer 2: Problem Deep Dives
29_how_to_link_transformation_initiatives_to_budget_reality,Layer 3: Solution Logic
30_what_executive_sponsors_should_never_delegate_in_transformation,Layer 1: Field Reality
31_how_to_build_a_live_transformation_risk_register,Layer 3: Solution Logic
32_when_a_transformation_program_needs_intervention_not_more_reporting,Layer 1: Field Reality
33_how_to_design_a_sponsor_cadence_that_actually_changes_transformation_outcomes,Layer 3: Solution Logic
34_when_a_transformation_portfolio_should_stop_funding_an_initiative,Layer 4: Decision Support
35_what_a_good_escalation_path_looks_like_in_cross_functional_programs,Layer 1: Field Reality
36_how_to_reduce_governance_debt_in_large_transformation_programs,Layer 1: Field Reality
37_when_transformation_metrics_start_driving_the_wrong_behavior,Layer 1: Field Reality
38_how_to_keep_strategy_reviews_from_turning_into_narrative_theater,Layer 3: Solution Logic
39_what_executives_should_require_before_approving_the_next_wave_of_change,Layer 4: Decision Support
40_how_to_prove_transformation_value_before_the_full_program_finishes,Layer 1: Field Reality
41_when_a_transformation_team_is_overloaded_even_if_the_plan_looks_green,Layer 5: Execution And Transformation
42_how_to_reset_transformation_control_after_a_missed_quarter,Layer 3: Solution Logic
43_how_to_define_decision_rights_in_a_transformation_operating_system,Layer 1: Field Reality
44_what_a_board_ready_transformation_packet_should_include_every_time,Layer 4: Decision Support
45_when_to_rewrite_a_transformation_business_case_and_when_not_to,Layer 3: Solution Logic
46_how_to_manage_transformation_assumptions_without_spreadsheet_chaos,Layer 1: Field Reality
47_what_a_good_transformation_capacity_model_should_make_visible,Layer 2: Problem Deep Dives
48_when_change_exhaustion_is_a_governance_problem_not_a_people_problem,Layer 5: Execution And Transformation
49_how_to_keep_a_transformation_pmo_from_becoming_a_reporting_factory,Layer 2: Problem Deep Dives
50_how_to_turn_transformation_management_into_a_repeatable_operating_system,Layer 2: Problem Deep Dives
