package_id,status,implementation_owner,qa_owner,base_sha,candidate_sha,claimed_files,closed_atomic,total_atomic,technical_gate,self_review_gate,qa_pass1,qa_pass2,retries,blocker,next_action,updated_at
R00,ACCEPTED,CLAUDE-R00-IMPLEMENTER,CODEX-INDEPENDENT-QA,d8b3979e651d2e6d5591bff128f5abb23d10772e,,src/contracts/tableSurface/**,0,0,PASS,PASS,PASS,PASS,1,,R00 accepted; release Wave 1 packages,2026-08-06T10:56:00+02:00
R01,ACCEPTED,CLAUDE-R01-IMPLEMENTER,CODEX-INDEPENDENT-QA,d8b3979e651d2e6d5591bff128f5abb23d10772e,,src/components/shared/RowActionsMenu.tsx;src/components/shared/__tests__/rowActionsMenu.r01.test.tsx;three scoped handoff hunks,0,0,PASS,PASS,PASS,PASS,2,,R01 accepted; release R02 and R03 preflight,2026-08-06T11:53:00+02:00
R02,ACCEPTED_PARTIAL,CLAUDE-R02-A-FIX-2-IMPLEMENTER,CODEX-INDEPENDENT-QA,d8b3979e651d2e6d5591bff128f5abb23d10772e,,src/components/shared/BulkSelectionCluster.tsx;two BulkActionBar facades;src/components/shared/ModuleMenu3.tsx;src/components/Interview/InterviewHub.tsx;src/components/shared/ModuleHub/__tests__/Menu3Row.test.tsx,0,0,PASS,PASS,PASS,PASS,2,Visual G3/G4 pending on exact deployed candidate SHA; full repo Vitest sweep hung on inherited open handles and was terminated after 50 minutes,R02 implementation closed; showTabCounts classified CLOSE_AS_NO_LIVE_DEFECT; release domain migrations R20-R28 and verify Menu 3 plus bulk rows on demo,2026-08-06T19:07:00+02:00
R03,ACCEPTED_PARTIAL,CLAUDE-R03-IMPLEMENTER,CODEX-INDEPENDENT-QA,d8b3979e651d2e6d5591bff128f5abb23d10772e,,src/components/standard/StandardPreview.tsx;src/components/shared/PreviewPane/PreviewActionButton.tsx;src/components/shared/PreviewPane/previewContract.ts;src/components/shared/__tests__/standardPreview.r03.test.tsx;src/components/shared/TableWithPreviewLayout.tsx;src/components/shared/PreviewPane/previewGeometry.ts;src/components/shared/__tests__/tablePreviewGeometry.r03-2.test.tsx;src/components/shared/PreviewPane/PreviewRelations.tsx;src/components/shared/PreviewPane/index.ts;tests/components/standard/StandardPreview.test.tsx,0,0,PASS,PASS,PASS,PASS,1,Visual G3/G4 pending on exact deployed candidate SHA,R03 shared implementation complete; migrate 31 domain previews in R20-R28 and verify relations +N on demo,2026-08-06T17:04:00+02:00
R04,ACCEPTED_PARTIAL,CLAUDE-R04-IMPLEMENTER,CODEX-INDEPENDENT-QA,d8b3979e651d2e6d5591bff128f5abb23d10772e,,src/contracts/tableSurface/canon.ts;src/contracts/tableSurface/__tests__/tableGeometry.r04-0.test.ts;src/components/shared/ModuleHub/TableSettingsPopover.tsx;src/components/shared/ModuleHub/useTableSelection.tsx;src/components/shared/ModuleHub/tableSettingsLocks.ts;src/components/shared/__tests__/tableMechanics.r04-1.test.tsx;src/components/ui/ResizableTable/index.tsx;src/components/shared/__tests__/resizableTableDeprecation.r04-3a.test.ts;src/components/shared/ModuleHub/FilterableTable.tsx;src/components/standard/StandardTable.tsx;src/components/shared/__tests__/filterableTable.r04-2a.test.tsx;src/components/shared/__tests__/standardTable.r04-2b.test.tsx,0,0,PASS,PASS,PASS,PASS,0,Visual G3/G4 pending on exact deployed candidate SHA,R04 shared implementation complete; verify 56px density and empty/loading on demo during domain waves,2026-08-06T16:42:00+02:00
R10,ACCEPTED_PARTIAL,T22-FINAL-CLOSEOUT,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,server/src/types/artifactRegistry.ts;src/services/api/artifactRuns.ts;server/migrations/20260807_origin_runtime_assessment_report.sql;server/src/services/assessment/__tests__/assessmentWorkbench.t22-data-prereq.test.ts;src/components/assessment/AssessmentOutputsTab.tsx;src/components/assessment/assessmentOutputs.ts;tests/components/assessment/AssessmentOutputsTab.t22.test.tsx;src/hooks/useFeatureFlags.tsx;src/components/assessment/AssessmentHub.tsx;tests/components/assessment/AssessmentHub.fiveSurfaces.t22-integration.test.tsx;src/contracts/tableSurface/surfaceRegister.ts;src/contracts/tableSurface/__tests__/surfaceRegister.test.ts;dev-render/screens/assessment-five-surfaces.tsx,2,5,PASS,PASS,PASS,PASS,1,Live deployed-candidate backend populated/empty visual proof remains pending; dev-render evidence is explicitly mocked and not realDB proof,T22 technical closeout accepted partial: assessmentFiveSurfacesV1 default ON; TABLE/PREVIEW/KEBAB/PPM accepted; M14 ACCEPTED_NA_CONTRACT because selection none and no truthful bulk endpoint; author regression 433/433 lint 0 errors full tsc 0 errors diff check PASS; Codex independently reviewed flag contract harness and prior 179 plus 254 scoped green baselines; move to next package outside T22,2026-08-07T20:39:00+02:00
R11,ACCEPTED_PARTIAL,CLAUDE-R11-SONNET5,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,src/components/Initiatives/InitiativesHub.tsx;src/components/Initiatives/InitiativeObservabilityTable.tsx;src/components/Initiatives/CandidatesTable.tsx;src/components/Initiatives/PortfolioHealthTable.tsx;src/contracts/tableSurface/surfaceRegister.ts;src/contracts/tableSurface/__tests__/surfaceRegister.test.ts;tests/components/Initiatives/InitiativeObservabilityTable.t27.test.tsx;tests/components/Initiatives/CandidatesTable.t28.test.tsx;tests/components/Initiatives/PortfolioHealthTable.t29.test.tsx;tests/components/Initiatives/InitiativesHub.r11-wiring.source-anchor.test.ts,3,15,PASS,PASS,PASS,PASS,0,Exact local-candidate visual and deployed-backend proof remains pending; T29 dashboard still repeats ready-to-launch rows below the canonical table as a disclosed follow-up,R11 technical closeout accepted partial: T27-T29 TABLE/PREVIEW/KEBAB/PPM resolved with truthful real-data actions; all three M14 ACCEPTED_NA_CONTRACT because selection none and no truthful bulk contract; author 408/408 lint 0 errors full tsc 0 errors diff check PASS; Codex independently reran 179/179 scoped tests and diff check PASS; proceed to next dependency-ready package outside R11,2026-08-07T23:52:00+02:00
R12,ACCEPTED_PARTIAL,CLAUDE-R12-SONNET5,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,src/components/Execution/ExecutionManagementView.tsx;src/components/Execution/ExecutionManagementTable.tsx;src/contracts/tableSurface/surfaceRegister.ts;src/contracts/tableSurface/__tests__/surfaceRegister.test.ts;tests/components/Execution/ExecutionManagementTable.t35.test.tsx;tests/components/Execution/ExecutionManagementView.r12-wiring.source-anchor.test.ts,1,5,PASS,PASS,PASS,PASS,0,Exact local-candidate visual and deployed-runtime proof remains pending; PPM parity is structurally shared but not independently exercised by a right-click test,R12 technical closeout accepted partial: T35 lane-summary table uses factual managerLaneCounts; TABLE/PREVIEW/KEBAB resolved; PPM structurally resolved; M14 ACCEPTED_NA_CONTRACT because selection none and no truthful bulk endpoint; BenefitsRegister and six dashboard tiles preserved outside the table; author gates PASS; Codex independently reran 165/165 scoped tests and diff check PASS; proceed to R13,2026-08-08T00:41:00+02:00
R13,ACCEPTED_PARTIAL,CLAUDE-R13-SONNET5,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,src/components/Initiatives/Analysis/PortfolioAnalysisView.tsx;src/components/Initiatives/Analysis/PortfolioAnalysisTable.tsx;src/contracts/tableSurface/surfaceRegister.ts;src/contracts/tableSurface/__tests__/surfaceRegister.test.ts;tests/components/Initiatives/PortfolioAnalysisTable.t26.test.tsx;tests/components/Initiatives/PortfolioAnalysisView.r13-wiring.source-anchor.test.ts,2,12,PASS,PASS,PASS,PASS,0,T30 corrected and closed this session: real Goal CRUD/rollup/link API exists under /initiatives-v4/goals; InitiativesGoalsTable.tsx built and technically accepted (12/12 P0 atoms). Exact-candidate visual/live proof for T26/T30 remains pending.,R13 partial technical acceptance: T26 six P0 atoms resolved using real PortfolioInitiative rows and truthful Open/Preview actions; M14 ACCEPTED_NA_CONTRACT with selection none and no bulk endpoint; T30 adapter corrected to register (real API); its six atoms are now closed alongside T26's six (12/12 total); author 425/425 PASS plus a further T30 gate sweep; Codex independently reran scoped tests and diff check PASS both times.,2026-08-08T01:20:00+02:00
R14,ACCEPTED_PARTIAL,CLAUDE-R14-SONNET5,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,src/components/Execution/ExecutionHub.tsx;src/contracts/tableSurface/surfaceRegister.ts;src/contracts/tableSurface/__tests__/surfaceRegister.test.ts;tests/components/Execution/ExecutionHub.r14-panel-relocation.source-anchor.test.ts;tests/components/Execution/ExecutionHub.t33-rollout-routing.investigation.test.ts,1,9,PASS,PASS,PASS,PASS,0,T31 TABLE-T13 audit mapping overlaps T32 and needs product disposition; T33 TABLE-T13 remains unverified/stale and TABLE-T14 remains open because shared setSearchParams replace:true prevents tab history; exact-candidate visual/live proof pending,R14 partial technical acceptance: five T31 interaction atoms verified as already satisfied by current StandardTable and T32 TABLE-T13 resolved by relocating three analytics panels below the table; T31 TABLE-T13 and both T33 P0 atoms remain open; author 280/280 PASS; Codex independently reran 178/178 scoped tests and diff check PASS; proceed to next dependency-ready package while routing gets a dedicated scoped decision,2026-08-08T03:13:00+02:00
