row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
CW-03-001,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,11,UI_STANDARD,ui,E7|E9,"Interaction principles: Lightweight first (outcome, current state, attention and next action precede configuration); visible controls, no hidden mode changes; tabs switch places/projections while toggles only change boolean settings; every mutation states actor, target, effect and reversibility; Teresa proposes changes to a draft or creates a version-bound proposal and never edits a published plan silently; drag-and-drop is an acceleration, never the only operation; live updates preserve focus, scroll and user drafts; deep links restore Case, phase, selected step/result and return focus; destructive actions require danger semantics, named consequence and confirmation; UI never substitutes animation for a durable state receipt.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-002,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,24,UI_STANDARD,ui,E7,"The Workspace obeys one Command Row under the existing topbar. View-local controls such as 'Prosty | Ekspercki | Lista', zoom and timeline filters live inside the active view, not in another global toolbar.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-003,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,26,UI_STANDARD,ui,E7|E8,Primary navigation: My Work remains the global attention origin; Plan|Realizacja|Rezultaty are semantic tabs; browser Back restores the prior My Work filter/preview or native deliverable return point; opening Teresa later does not change the Case context silently.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-004,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,33,UI_STANDARD,ui,E7|E8,'Chat | Work' must never be implemented as a boolean toggle. Use split view on wide screens and semantic tabs on narrow screens.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-005,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,39,UI_STANDARD,ui,E2|E3|E9,"A user may add/connect plan steps by clicking '+' between steps, searching the capability palette, dragging a capability onto a valid edge, using keyboard commands 'Dodaj przed'/'Dodaj po'/'Połącz z', or asking Teresa to propose a structural diff. The UI previews the insertion location and validates typed inputs/outputs; incompatible connections remain unapplied and explain the mismatch.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-006,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,49,UI_STANDARD,ui,E2|E9,Selecting a node opens a compact drawer. 'Pełne szczegóły' changes to the expert projection with the same node selected. 'Pokaż na Flow' returns to and centers the same node.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-007,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,53,UI_STANDARD,ui,E9|E7,"Selection is neutral and uses the shared selected-state token. Crimson is reserved for Teresa brand presence and destructive semantics, never selection, normal CTA or focus.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-008,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,55,CANON,domain,E2|E9,"Move/branch/undo rules: visual movement alone does not change execution order; reconnecting an edge is a semantic change and enters the draft diff; branches require readable labels; auto-layout never changes graph semantics; undo/redo covers manual and Teresa-applied draft diffs; published versions cannot be edited, editing creates a new draft.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-009,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,66,UI_STANDARD,ui,E2,"Autosave states are 'Zapisywanie', 'Zapisano', 'Błąd zapisu'. Plan lifecycle states are 'Szkic', 'Do przeglądu', 'Opublikowany', 'Wycofany'. They are rendered independently.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-010,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,72,CANON,ui,E1|E6|E7,"For a small safe one-step plan, one primary action may create and start the work; before activation the compact preview still names outcome, native module/result, Teresa's allowed action, autonomy level, data/recipient scope, and side effect/approval behavior.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-011,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,81,CANON,domain,E2|E6,"Multi-step or material work requires plan review. 'Publish' and 'Start' remain separate when risk, participants or irreversible effects justify the distinction.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-012,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,84,CANON,domain,E4|E6,Only state-valid actions are visible in runtime controls. Each control returns a durable receipt and updated readback: pause/resume; cancel; retry failed step; provide input; approve/reject/request changes; remind/reassign a human task; re-run from checkpoint; propose a replan.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-013,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,96,CANON,domain,E4,A cancelled or rejected action cannot continue because of a stale client event.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-014,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,99,CANON,security,E6,"An approval surface always includes summary, semantic diff, risk, evidence, consequence, expiry and actions. After decision it becomes a receipt with actor, timestamp, decision ID, plan/proposal version and audit link; active controls disappear.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-015,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,103,CANON,event,E4|E5,Live updates: new events never force-scroll a user reading older history; '3 nowe zdarzenia' offers an explicit jump; last confirmed server time remains visible during reconnect; lost connection does not imply a failed Run; duplicate socket/poll events are deduplicated in the UI and runtime.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-016,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,112,CANON,security,E10,"A native deliverable result link includes stable Case and result identifiers but no sensitive payload in the URL. Opening 'Otwórz w Finance'/'Otwórz Interview'/other owner module loads the canonical native object, preserves permissions, shows optional Case context in the native header, provides a semantic return path to the same Case phase and selected step, and restores focus to the triggering result card or node.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-017,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,120,CANON,domain,E10|E11,An unavailable/deleted deliverable source is rendered as unavailable with provenance and recovery guidance; it is not silently removed from lineage.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-018,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,124,UI_STANDARD,ui,E7,"Wide desktop (>=1280px): Zlecenia uses table + preview; Plan may show canvas plus one inspector drawer; Realizacja may show main content plus an attention rail; Teresa may later open as a contextual right panel, never a permanent fourth column; floating panels use shared elevation, content cards remain shadowless.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-019,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,132,UI_STANDARD,ui,E7,Narrow desktop and tablet (768-1279px): one primary content region at a time; inspector and attention become drawers; 'Prosty | Ekspercki | Lista' remains visible as a segmented view control; Chat and Work later become tabs rather than compressed split view; the plan does not depend on a long fixed vertical canvas.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-020,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,140,UI_STANDARD,ui,E7,"Mobile (<768px): default Plan projection is Lista; Step Detail is full-screen; Realizacja uses a vertical timeline and sticky attention action; approvals, provide-input, pause, resume and cancel remain fully operable; complex canvas authoring may be desktop-only but every semantic edit required for ordinary work has a list/form equivalent; actions use an accessible action sheet, no swipe-only command; sticky regions must not cover focused controls or the on-screen keyboard.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-021,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,150,DOD,test,E7|E14,"Required visual test widths are 320, 375, 430, 768, 1024, 1440 and 1920 px, plus 200% browser zoom.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-022,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,154,UI_STANDARD,ui,E7,"Accessibility target is WCAG 2.2 AA. Structure/focus: semantic landmarks and heading hierarchy; Plan|Realizacja|Rezultaty and view switchers use tablist/tab/tabpanel semantics; arrow keys move tab focus, Enter/Space activates per shared primitive contract; drawers/modals trap focus only while modal, close with supported dismiss behavior and return focus to the trigger; deep-linked content receives programmatic focus on its heading without unexpected scroll loops; all touch targets are at least 44x44 pt.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-023,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,165,UI_STANDARD,ui,E9|E7,"Canvas equivalence: every node is keyboard-focusable and announces label, type, owner and state; every edge appears in the selected node's textual 'Połączenia' section; add/connect/move/duplicate/delete have non-drag commands; the Lista projection exposes the same plan meaning and validation issues; keyboard navigation supports skip links to selected step and validation problems; zoom and pan are not prerequisites for reading or editing the plan.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-024,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,174,UI_STANDARD,ui,E7,"Status/announcements: status is text plus optional icon/color, never color alone; aria-live=polite announces meaningful progress, reconnect and approval receipt; background event streams do not repeatedly announce technical heartbeats; error/block/partial messages name the consequence and available recovery; focus remains with the user's current task after live updates.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-025,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,182,UI_STANDARD,ui,E7,"Motion, contrast and content: focus uses --c-focus, never crimson; motion uses shared --motion-fast/base/slow tokens and remains <=220ms; prefers-reduced-motion removes movement/scale and nonessential animation; light and dark modes meet contrast requirements; graphs/KPI charts provide text/table equivalents; icon-only actions have accessible names and tooltips where appropriate.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-026,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,193,UI_STANDARD,ui,E7,Feature screens compose shared components; they do not introduce a local visual language. Proposed reusable families require review and a binding entry before implementation.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-027,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,195,UI_STANDARD,ui,E7|E2|E4|E6|E10,"Component binding plan: Workspace shell (header, one Command Row, phase tabs) binds to existing My Work shell in src/components/MyWork/MyWorkHub.tsx, no new parallel shell; List/preview binds to src/components/standard/ and AgentHubShell.tsx per TRIADA; Status extends central mapping in src/constants/statusColors.ts, no local status palette; Selection/focus uses src/components/shared/selectionTokens.ts and --c-focus in src/index.css; Flow candidate is AgentPlanCanvas.tsx, requires canonical Definition binding and list equivalent before acceptance; Palette/inspector candidates are AgentWorkshopPalette.tsx and agentWorkshopCatalog.ts, entries require executor contracts; Approval reuses shared decision/approval primitives, no chat-only governance duplicate; Timeline must use the shared timeline family, raw log styling is not a new default; Deliverable link requires a shared deep-link component across owner modules.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-028,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,209,UI_STANDARD,ui,E7,"Visual rules: one colored primary action per active region; ordinary module CTA uses navy, Teresa presence may use brand crimson, destruction uses danger semantics; selection is neutral; content separation uses surfaces and spacing before borders; cards in cards are not the default; shadows are limited to floating UI and sticky elevation; Inter, flattened type hierarchy, font-semibold rather than bold headings; outline icons with consistent stroke; no gradient, glow or broad animation to signify AI.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-029,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,219,DOD,test,E7|E14,"Each primary surface must provide deterministic fixtures and runtime proof for: empty; initial loading; background refresh; slow network; stale/offline; validation error; permission denied; concurrency conflict; rate limit; backend failure; lost event connection/reconnect; blocked governance/membership; partial completion; expired approval; unavailable source; restart during active Run. No state may show an infinite spinner without status, timeout and recovery.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-030,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,244,DOD,test,E14|E7,"Interaction acceptance (automated/semantic): keyboard-only completion of create, review, start, approval and native-result return; no critical/serious automated accessibility findings; tab/drawer/dialog/menu/live-region semantics tested; reduced-motion coverage; no duplicate mutation after double click, refresh, reconnect or replay; stable deep-link restoration for Case, phase, step, approval and deliverable; List and Flow expose identical step count, identity, validation and dependencies; UI status is derived from canonical read model, not optimistic fiction.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-031,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,257,DOD,test,E14,"One exact SHA/deployment browser and device evidence pack must contain: screenshots in light/dark at all required widths; video of direct module work without Case; video of safe one-click Zlecenie; video of reviewed multi-step plan through Run and native result; mobile approval and waiting-step monitoring; keyboard and VoiceOver/NVDA walkthrough; 200% zoom evidence; controlled blocked/partial/offline/conflict/restart states; focus return after drawer, deep link and native module visit; browser network trace matched to API, event and realDB readback; plan version, Run ID, approval receipt and deliverable lineage; tenant/project isolation proof.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-03-032,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,272,DOD,test,E14,"Build success, mock-only tests, a screenshot without readback, helper tests, stale deployment evidence or self-attestation do not satisfy final acceptance. Until the full pack is current for one candidate, runtime status remains PARTIAL.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
