schema,table,category,family,reason,sourceEvidence,exclusionBasis,ownership
public,_migration_518_done,DERIVED,MIGRATION_CONTROL,The single completion marker is deterministically recreated by applying migration 518 and contains no tenant-authored content.,server/migrations/518_interview_tool_report_templates.sql:179-180,,"{""kind"":""REBUILD_PROCEDURE"",""procedure"":""Run migration 518 to recreate the single completion marker deterministically."",""sourcePath"":""server/migrations/518_interview_tool_report_templates.sql""}"
public,_v8_flag_backup_20260710,EXCLUDE_SECURITY,ACTIVE_SEMANTIC_POLICY_MISSING,"The relation has a structural tenant path but no active semantic writer or reviewed privacy contract, so export fails closed.",organization-export-semantic-source-index.e1.json::public._v8_flag_backup_20260710 ACTIVE_SEMANTIC_SOURCE_MISSING,ACTIVE_SEMANTIC_POLICY_MISSING,{}
public,_z139_repair_backup_20260710,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public._z139_repair_backup_20260710 reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,access_code_usage,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/access-control.routes.ts:500,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""code_id"",""parentColumn"":""id"",""parentSchema"":""public"",""parentTable"":""access_codes""}]}"
public,access_codes,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/accessCodeService.ts:339; SQL_INSERT_INTO server/src/services/accessCodeService.ts:663; SQL_UPDATE server/src/routes/access-control.routes.ts:490; SQL_UPDATE server/src/services/accessCodeService.ts:469; SQL_UPDATE server/src/services/accessCodeService.ts:568,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,access_requests,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/access-control.routes.ts:58; SQL_UPDATE server/src/controllers/SuperAdminController.ts:1063; SQL_UPDATE server/src/controllers/SuperAdminController.ts:1090; SQL_UPDATE server/src/routes/access-control.routes.ts:220; SQL_UPDATE server/src/routes/access-control.routes.ts:267,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,account_deletion_request_receipts,EXCLUDE_SECURITY,ACTIVE_SEMANTIC_POLICY_MISSING,"The relation has a structural tenant path but no active semantic writer or reviewed privacy contract, so export fails closed.",organization-export-semantic-source-index.e1.json::public.account_deletion_request_receipts ACTIVE_SEMANTIC_SOURCE_MISSING,ACTIVE_SEMANTIC_POLICY_MISSING,{}
public,account_deletion_requests,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/gdpr.routes.ts:595; SQL_INSERT_INTO server/src/services/legacyCutover/registry/settings.ts:161; SQL_UPDATE server/src/routes/gdpr.routes.ts:633; SQL_UPDATE server/src/services/gdprService.ts:209; SQL_FROM server/src/routes/gdpr.routes.ts:580,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""user_id"",""parentColumn"":""id"",""parentSchema"":""public"",""parentTable"":""users""}]}"
public,action_cards,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/actionCard/actionCardService.ts:171; SQL_UPDATE server/src/services/actionCard/actionCardService.ts:218; SQL_UPDATE server/src/services/actionCard/actionCardService.ts:283; SQL_FROM server/src/services/actionCard/actionCardService.ts:109; SQL_FROM server/src/services/inboxService.ts:228,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,active_sessions,EXCLUDE_SECURITY,SECURITY_CREDENTIALS_AND_SESSIONS,"The reviewed relation contains authentication, credential, session, recovery, signing, or token-vault material and is excluded in full.",staging-schema-inventory.json::public.active_sessions; reviewed exact credential identity list,CREDENTIAL_OR_SESSION_MATERIAL,{}
public,activity_logs,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/middleware/pmoValidation.middleware.ts:359; SQL_INSERT_INTO server/src/routes/assessment/assessment-workflow.routes.ts:1256; SQL_INSERT_INTO server/src/services/ActivityService.ts:112; SQL_INSERT_INTO server/src/services/ActivityService.ts:145; SQL_INSERT_INTO server/src/services/ai/agentAudit/agentAuditStore.ts:169,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,adkar_assessments,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/adkarService.ts:295; SQL_FROM server/src/services/adkarService.ts:330,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_approval_requests,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.admin_approval_requests reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,admin_approval_workflows,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.admin_approval_workflows reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,admin_audit_export_receipts,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/adminP32.routes.ts:3173; SQL_FROM server/src/routes/admin/audit-export-history.routes.ts:33,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_audit_logs,EXPORT,AUDIT_COMPLIANCE,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/adminAuditService.ts:82; SQL_INSERT_INTO server/src/services/integrationStatusService.ts:100; SQL_UPDATE server/src/services/adminAuditService.ts:165; SQL_DELETE_FROM server/src/services/adminAuditService.ts:205; SQL_FROM server/src/controllers/SuperAdminController.ts:4669,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_dashboards,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/controllers/SuperAdminController.ts:5309; SQL_UPDATE server/src/controllers/SuperAdminController.ts:5329; SQL_UPDATE server/src/controllers/SuperAdminController.ts:5385; SQL_DELETE_FROM server/src/controllers/SuperAdminController.ts:5339; SQL_FROM server/src/controllers/SuperAdminController.ts:5283,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_iam_invitation_commands,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/adminIamCommandService.ts:239; SQL_FROM server/src/scripts/g05-przelot.ts:974; SQL_FROM server/src/services/adminIamCommandService.ts:130,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_iam_invitation_delivery_attempts,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/adminIamCommandService.ts:97; SQL_FROM server/src/services/adminIamCommandService.ts:64,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_iam_job_events,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/adminIamOperationsService.ts:43,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_iam_jobs,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/adminIamOperationsService.ts:70; SQL_UPDATE server/src/services/adminIamOperationsService.ts:109; SQL_UPDATE server/src/services/adminIamOperationsService.ts:138; SQL_UPDATE server/src/services/adminIamOperationsService.ts:168; SQL_FROM server/src/jobs/adminIamAlertEvaluationJob.ts:41,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_iam_member_commands,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/orgPeopleIamService.ts:350; SQL_INSERT_INTO server/src/services/orgPeopleIamService.ts:436; SQL_FROM server/src/services/orgPeopleIamService.ts:287; SQL_FROM server/src/services/orgPeopleIamService.ts:374,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_report_executions,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/controllers/SuperAdminController.ts:5468; SQL_INSERT_INTO server/src/services/report/ReportExecutionService.ts:37; SQL_UPDATE server/src/controllers/SuperAdminController.ts:5494; SQL_UPDATE server/src/services/report/ReportExecutionService.ts:51; SQL_UPDATE server/src/services/report/ReportExecutionService.ts:63,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""executed_by"",""parentColumn"":""id"",""parentSchema"":""public"",""parentTable"":""users""}]}"
public,admin_role_assignments,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_DELETE_FROM server/src/routes/adminP32.routes.ts:2693; SQL_FROM server/src/routes/adminP32.routes.ts:227,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_saved_reports,EXPORT,ADMIN_SECURITY,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/controllers/SuperAdminController.ts:5421; SQL_UPDATE server/src/controllers/SuperAdminController.ts:5442; SQL_UPDATE server/src/controllers/SuperAdminController.ts:5506; SQL_DELETE_FROM server/src/controllers/SuperAdminController.ts:5452; SQL_FROM server/src/controllers/SuperAdminController.ts:5395,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,admin_sessions,EXCLUDE_SECURITY,SECURITY_CREDENTIALS_AND_SESSIONS,"The reviewed relation contains authentication, credential, session, recovery, signing, or token-vault material and is excluded in full.",staging-schema-inventory.json::public.admin_sessions; reviewed exact credential identity list,CREDENTIAL_OR_SESSION_MATERIAL,{}
public,advisor_response_log,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/ai.routes.ts:9662; SQL_UPDATE server/src/routes/ai.routes.ts:9743; SQL_FROM server/src/routes/ai.routes.ts:9735; SQL_FROM server/src/routes/ai.routes.ts:9761; SQL_FROM server/src/routes/ai.routes.ts:9793,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,agent_folders,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentFolderService.ts:132; SQL_UPDATE server/src/services/ai/agentFolderService.ts:197; SQL_DELETE_FROM server/src/services/ai/agentFolderService.ts:216; SQL_FROM server/src/services/ai/agentFolderService.ts:101; SQL_FROM server/src/services/ai/agentFolderService.ts:108,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_ab_assignments,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.ai_ab_assignments reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,ai_ab_experiments,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.ai_ab_experiments reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,ai_ab_outcomes,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.ai_ab_outcomes reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,ai_actions,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/aiActionExecutor.ts:514; SQL_INSERT_INTO server/src/services/v8/teresaCopilotService.ts:524; SQL_UPDATE server/src/services/aiActionExecutor.ts:372; SQL_UPDATE server/src/services/aiActionExecutor.ts:648; SQL_UPDATE server/src/services/aiActionExecutor.ts:672,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_actions_config,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_FROM server/src/services/ai/aiMemoryService.ts:354; SQL_FROM server/src/services/ai/aiMemoryService.ts:375,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_actions_log,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_DELETE_FROM server/src/cron/MemoryCleanupJob.js:67,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_agent_audit_metrics,EXPORT,AUDIT_COMPLIANCE,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentAudit/agentAuditMetricsService.ts:23; SQL_FROM server/src/routes/ai/agent-audit.routes.ts:59; SQL_FROM server/src/routes/ai/agent-audit.routes.ts:80; SQL_FROM server/src/routes/ai/agent-audit.routes.ts:129,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_agent_audit_reviews,EXPORT,AUDIT_COMPLIANCE,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentAudit/agentAuditStore.ts:98; SQL_FROM server/src/services/ai/agentAudit/agentAuditStore.ts:251,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""run_id"",""parentColumn"":""id"",""parentSchema"":""public"",""parentTable"":""ai_agent_audit_runs""}]}"
public,ai_agent_audit_runs,EXPORT,AUDIT_COMPLIANCE,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentAudit/agentAuditStore.ts:78; SQL_UPDATE server/src/services/ai/agentAudit/agentAuditStore.ts:290; SQL_FROM server/src/services/ai/agentAudit/agentAuditStore.ts:236; SQL_FROM server/src/services/ai/agentAudit/agentAuditStore.ts:321,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_agent_job_attempts,EXPORT,TASKS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentTaskDispatchService.ts:140; SQL_INSERT_INTO server/src/services/ai/agentTaskDispatchService.ts:156; SQL_INSERT_INTO server/src/services/ai/agentTaskDispatchService.ts:191; SQL_FROM server/src/services/ai/agentTaskDispatchService.ts:200,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""receipt_id"",""parentColumn"":""receipt_id"",""parentSchema"":""public"",""parentTable"":""ai_agent_job_receipts""}]}"
public,ai_agent_job_receipts,EXPORT,TASKS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentTaskDispatchService.ts:75; SQL_UPDATE server/src/services/ai/agentTaskDispatchService.ts:104; SQL_UPDATE server/src/services/ai/agentTaskDispatchService.ts:128; SQL_UPDATE server/src/services/ai/agentTaskDispatchService.ts:150; SQL_UPDATE server/src/services/ai/agentTaskDispatchService.ts:185,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_agent_plan_steps,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/agentPlannerService.ts:476; SQL_INSERT_INTO server/src/services/ai/agentPlannerService.ts:992; SQL_UPDATE server/src/services/ai/agentPlannerService.ts:587; SQL_UPDATE server/src/services/ai/agentPlannerService.ts:686; SQL_UPDATE server/src/services/ai/agentPlannerService.ts:719,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""plan_id"",""parentColumn"":""id"",""parentSchema"":""public"",""parentTable"":""ai_agent_plans""}]}"
