tabela,akcja,w_zrodle,do_przeniesienia,w_celu,powod
"activity_logs","ZOSTAJE_TECHNICZNE","570","0","10620","dziennik aktywności starej organizacji — zdarzenie zaszło w tamtej organizacji"
"api_logs","ZOSTAJE_TECHNICZNE","9113","0","75813","ślad wywołań HTTP starej organizacji — dziennik operacyjny, nie treść programu"
"audit_log","ZOSTAJE_TECHNICZNE","430","0","6563","dziennik audytowy starej organizacji — przepisanie go fałszowałoby, gdzie zdarzenie zaszło"
"okr_vnext_checkin_occurrences","ZOSTAJE_KOLIZJA","1","0","3","jak wyżej (blok OKR)"
"okr_vnext_checkins","ZOSTAJE_KOLIZJA","1","0","29","jak wyżej (blok OKR)"
"okr_vnext_cycles","ZOSTAJE_KOLIZJA","1","0","3","blok OKR jedzie w całości albo wcale — zablokowany przez kolizję okr_vnext_programs"
"okr_vnext_key_results","ZOSTAJE_KOLIZJA","1","0","29","jak wyżej (blok OKR)"
"okr_vnext_objectives","ZOSTAJE_KOLIZJA","1","0","11","jak wyżej (blok OKR)"
"okr_vnext_program_policy_versions","ZOSTAJE_KOLIZJA","1","0","1","jak wyżej (blok OKR)"
"okr_vnext_programs","ZOSTAJE_KOLIZJA","1","0","1","UQ częściowy (organization_id) WHERE status=active: jeden aktywny program OKR na organizację. Obie organizacje mają aktywny. Przeniesienie wymagałoby zmiany statusu — to już nie jest przeniesienie, tylko edycja treści."
"okr_vnext_sets","ZOSTAJE_KOLIZJA","1","0","4","jak wyżej (blok OKR)"
"organization_context_snapshots","ZOSTAJE_KOLIZJA","1","0","1","PK(organization_id): jeden wiersz na organizację. To wyliczany cache kontekstu (rebuilt_at + snapshot_json), organizacja docelowa ma własny, świeższy. Przeniesienie oznaczałoby nadpisanie cache docelowej organizacji opisem „DBR77 Digital Consulting""."
"organization_members","CZESC","2","0","16","UQ(organization_id, user_id): 2 z 9 osób (justyna.laskowska, piotr.wisniewski) mają JUŻ członkostwo w organizacji docelowej. Przeniesienie ich wiersza dałoby duplikat. Ich wiersze legacy zostają nietknięte — nikt nie traci dostępu, nikt nie dostaje wyższej roli (justyna jest MEMBER w docelowej, ADMIN w legacy — podniesienie roli to decyzja właściciela, nie skutek uboczny scalenia)."
"project_role_templates","ZOSTAJE_KOLIZJA","12","0","12","UQ(organization_id, role_key): WSZYSTKIE 12 kluczy ról (OBSERVER, PMO, SME, …) istnieją już w organizacji docelowej — to słownik ról projektowych, nie treść właściciela. Nic nie ginie."
"rvn_platform_resource_visibility","CZESC","1","0","154","Wiersz dla resource_type=okr_set wskazuje na zestaw OKR, który zostaje w legacy (kolizja okr_vnext_programs) — przeniesienie dałoby widoczność zasobu, którego w organizacji docelowej nie ma. Pozostałe 3 (kpi, kpi_scorecard, roi_case) MUSZĄ pojechać: visibilityScopedQuery.ts jest fail-closed — zasób bez wiersza widoczności w organizacji jest NIEWIDOCZNY."
"rvn_platform_visibility_policies","ZOSTAJE_KOLIZJA","3","0","4","UQ(organization_id, domain, policy_version): wszystkie 3 (kpi/roi/okr, wersja 1) mają odpowiednik w organizacji docelowej. To konfiguracja polityki widoczności per organizacja, nie treść. Docelowa ma dla roi nowszą wersję 2 (ROI_GOVERNED)."
"v8_artifact_origin_links","CZESC","99","0","534","UQ(organization_id, origin_runtime, origin_record_id) = „jeden artefakt na szablon w organizacji"". 99 ze 178 wskazuje na szablony (document/report/presentation/sheet_template), z których organizacja docelowa ma już swój artefakt. Te 99 zostaje; 79 jedzie. To wtórny indeks pochodzenia (artifactRegistryService.getOriginLinkByOrigin) — same artefakty (v8_output_artifacts) jadą w komplecie."
