category	file	test	root_cause	first_failure_message
d	tests/acceptance/agent-audit.e2e.test.ts	Acceptance HP-2 · Agent Audit (real router + auth + generic agentRuntime + DB) runs the audit agent end-to-end (1 agent, smallest sensible wave) via generic agentRuntime, persists the run, and reads it back	Test wymaga działającej konfiguracji realnego dostawcy LLM; wybór modelu pada przed per-agent fallbackiem.	AssertionError: expected 500 to be 200 // Object.is equality
b	tests/acceptance/aiExecutiveReporting.e2e.test.ts	Acceptance: AI-enhanced executive report (real runtime, real LLM) odbior--t7b3--aiExecutiveReporting.generateReport() genuinely transforms a grounded summary	Asercja oczekuje pustego wyniku mimo bieżącego rekordu fixture.	AssertionError: expected [ Array(1) ] to deeply equal []
d	tests/acceptance/aiExecutiveReporting.e2e.test.ts	Acceptance: AI-enhanced executive report (real runtime, real LLM) odbior--t7b3--generates a STEERING_COMMITTEE/PORTFOLIO report end-to-end and persists the AI narrative	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected [] to have a length of 1 but got +0
d	tests/acceptance/assess-missing-tables.e2e.test.ts	Acceptance RED→GREEN: 3 missing assessment tables (real runtime) assessment_versions: GET /:id/versions -> 200 and returns the seeded version	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected undefined to be truthy
d	tests/acceptance/assess-missing-tables.e2e.test.ts	Acceptance RED→GREEN: 3 missing assessment tables (real runtime) assessment_reviews: GET /pending-reviews -> 200 and returns the seeded review	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected undefined to be truthy
d	tests/acceptance/assess-missing-tables.e2e.test.ts	Acceptance RED→GREEN: 3 missing assessment tables (real runtime) assessment_questions: GET /assessment-evidence/:id/report -> 200 (empty framework, not 500)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 404 to be 200 // Object.is equality
d	tests/acceptance/assessment-collab.e2e.test.ts	Acceptance: assessment collaboration (real runtime) comments: create parent + reply, resolve, threaded read-back	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected false to be true // Object.is equality
d	tests/acceptance/assessment-collab.e2e.test.ts	Acceptance: assessment collaboration (real runtime) presence: heartbeat upserts and returns active collaborator	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected undefined to be truthy
b	tests/acceptance/backup-service-t7b2.e2e.test.ts	T7b-2 backupService — real logical export createBackup writes a storage file + manifest with counts matching the DB	Test oczekuje formatu consultify-encrypted-json-v1, produkt emituje bieżący consultify-logical-backup-v2.	Error: BACKUP_SCHEMA_NOT_MIGRATED:backup_manifests
d	tests/acceptance/backup-service-t7b2.e2e.test.ts	T7b-2 backupService — real logical export listBackups returns the created entry	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	Error: BACKUP_SCHEMA_NOT_MIGRATED:backup_manifests
d	tests/acceptance/backup-service-t7b2.e2e.test.ts	T7b-2 backupService — real logical export a second createBackup yields two distinct entries	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	Error: BACKUP_SCHEMA_NOT_MIGRATED:backup_manifests
d	tests/acceptance/backup-service-t7b2.e2e.test.ts	T7b-2 backupService — real logical export getBackupStatus reflects the created backups	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	Error: BACKUP_SCHEMA_NOT_MIGRATED:backup_manifests
d	tests/acceptance/backup-service-t7b2.e2e.test.ts	T7b-2 backupService — real logical export restore advertises the supervised isolated-target contract	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	Error: BACKUP_SCHEMA_NOT_MIGRATED:backup_manifests
b	tests/acceptance/backup-service-t7b2.e2e.test.ts	T7b-2 backupService — real logical export org-scoped backup only dumps the target org rows	Test oczekuje formatu consultify-encrypted-json-v1, produkt emituje bieżący consultify-logical-backup-v2.	Error: BACKUP_SCHEMA_NOT_MIGRATED:backup_manifests
d	tests/acceptance/chat-003-citation-provenance-readback.realdb.test.ts	CHAT-03 — durable citation provenance persists citations and the governed source ledger through a fresh conversation read	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"error":"No permission to add messages to this team conversation","reason":"You are not a member of this organization.","role":"none"}: expected 403 to be 201 // Object.is equality
c	tests/acceptance/chat-005-proposal-approval-audit.realdb.test.ts	CHAT-05 — proposal, approval, execution and durable audit does not write before approval, executes once, and survives a fresh read	Fixture propozycji nie osiąga oczekiwanego stanu zatwierdzenia.	AssertionError: expected false to be true // Object.is equality
c	tests/acceptance/chat-007-009-owner-handoff-reopen.realdb.test.ts	CHAT-07/08/09 — owner handoff, durable receipt and reopen creates one canonical initiative, persists its receipt, and reopens it after retry	Fixture handoff nie materializuje oczekiwanego wiersza właściciela.	AssertionError: expected false to be true // Object.is equality
d	tests/acceptance/chat-007-009-owner-handoff-reopen.realdb.test.ts	CHAT-07/08/09 — owner handoff, durable receipt and reopen hands a Canvas to canonical Note and Table owners with reopenable receipts	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"error":"Canvas proposal approval requires additional capability","code":"CANVAS_PROPOSAL_CAPABILITY_REQUIRED","recoverable":true,"requiredCapability":"canvas.convert.note"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/chat-007-009-owner-handoff-reopen.realdb.test.ts	CHAT-07/08/09 — owner handoff, durable receipt and reopen materializes a client deliverable and restores its owner URL from a fresh GET	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"error":"Canvas proposal approval requires additional capability","code":"CANVAS_PROPOSAL_CAPABILITY_REQUIRED","recoverable":true,"requiredCapability":"artifact.create"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/chat-007-fixes.realdb.test.ts	CHAT-07 fix package — independent read-back, create-time idempotency, table deep link FIX 1 (independent read-back): a materializer that returns an id with no real row never reaches approved, and the proposal is left retryable	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 'CANVAS_PROPOSAL_CAPABILITY_REQUIRED' to be 'CANVAS_HANDOFF_READBACK_MISSING' // Object.is equality
d	tests/acceptance/chat-007-fixes.realdb.test.ts	CHAT-07 fix package — independent read-back, create-time idempotency, table deep link FIX 2 (create-time idempotency): N concurrent identical create-proposal calls with the same key resolve to exactly one proposal, backed by a DB constraint	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"error":"Idempotency key already used for a different target","code":"IDEMPOTENCY_KEY_REUSED","recoverable":true}: expected [ 200, 201 ] to include 409
