tabela,akcja,w_zrodle,do_przeniesienia,w_celu,powod
"activity_logs","ZOSTAJE_TECHNICZNE","570","0","10620","dziennik aktywności starej organizacji — zdarzenie zaszło w tamtej organizacji"
"ai_agent_plans","CALOSC","1","1","9","dane merytoryczne — jadą w całości"
"ai_chat_runs","CALOSC","8","8","1113","dane merytoryczne — jadą w całości"
"ai_cost_usage","CALOSC","8","8","1019","dane merytoryczne — jadą w całości"
"ai_operator_plans","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"ai_operator_profiles","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"ai_quality_metrics","CALOSC","8","8","1020","dane merytoryczne — jadą w całości"
"ai_usage_logs","CALOSC","2","2","885","dane merytoryczne — jadą w całości"
"api_logs","ZOSTAJE_TECHNICZNE","9113","0","75813","ślad wywołań HTTP starej organizacji — dziennik operacyjny, nie treść programu"
"artifact_evidence","CALOSC","31","31","75","dane merytoryczne — jadą w całości"
"artifact_lineage_events","CALOSC","236","236","375","dane merytoryczne — jadą w całości"
"artifact_lineage_receipts","CALOSC","73","73","66","dane merytoryczne — jadą w całości"
"assessments","CALOSC","1","1","10","dane merytoryczne — jadą w całości"
"audit_log","ZOSTAJE_TECHNICZNE","430","0","6563","dziennik audytowy starej organizacji — przepisanie go fałszowałoby, gdzie zdarzenie zaszło"
"collab_sessions","CALOSC","121","121","2606","dane merytoryczne — jadą w całości"
"conversations","CALOSC","24","24","467","dane merytoryczne — jadą w całości"
"decisions","CALOSC","12","12","67","dane merytoryczne — jadą w całości"
"document_lifecycle_states","CALOSC","31","31","93","dane merytoryczne — jadą w całości"
"document_studio_editor_audit","CALOSC","31","31","229","dane merytoryczne — jadą w całości"
"document_studio_schema_overlay","CALOSC","31","31","43","dane merytoryczne — jadą w całości"
"document_studio_template_audit","CALOSC","10","10","24","dane merytoryczne — jadą w całości"
"document_studio_templates","CALOSC","3","3","8","dane merytoryczne — jadą w całości"
"document_version_snapshots","CALOSC","12","12","49","dane merytoryczne — jadą w całości"
"feedback_items","CALOSC","9","9","17","dane merytoryczne — jadą w całości"
"generated_workbooks","CALOSC","13","13","31","dane merytoryczne — jadą w całości"
"initiatives","CALOSC","7","7","97","dane merytoryczne — jadą w całości"
"interview_evidence","CALOSC","6","6","2","dane merytoryczne — jadą w całości"
"interview_library_templates","CALOSC","7","7","21","dane merytoryczne — jadą w całości"
"interview_questions","CALOSC","6","6","45","dane merytoryczne — jadą w całości"
"interview_sessions","CALOSC","2","2","9","dane merytoryczne — jadą w całości"
"knowledge_graph_entities","CALOSC","4","4","104","dane merytoryczne — jadą w całości"
"link_graph_edges","CALOSC","6","6","302","dane merytoryczne — jadą w całości"
"meeting_participants","CALOSC","5","5","39","dane merytoryczne — jadą w całości"
"meetings","CALOSC","5","5","10","dane merytoryczne — jadą w całości"
"my_idea_maps","CALOSC","19","19","13","dane merytoryczne — jadą w całości"
"my_ideas","CALOSC","20","20","17","dane merytoryczne — jadą w całości"
"my_work_session_context","CALOSC","3","3","2","dane merytoryczne — jadą w całości"
"notification_dedup","CALOSC","7","7","97","dane merytoryczne — jadą w całości"
"notifications","CALOSC","24","24","271","dane merytoryczne — jadą w całości"
"okr_vnext_checkin_occurrences","ZOSTAJE_KOLIZJA","1","0","3","jak wyżej (blok OKR)"
"okr_vnext_checkins","ZOSTAJE_KOLIZJA","1","0","29","jak wyżej (blok OKR)"
"okr_vnext_cycles","ZOSTAJE_KOLIZJA","1","0","3","blok OKR jedzie w całości albo wcale — zablokowany przez kolizję okr_vnext_programs"
"okr_vnext_key_results","ZOSTAJE_KOLIZJA","1","0","29","jak wyżej (blok OKR)"
"okr_vnext_objectives","ZOSTAJE_KOLIZJA","1","0","11","jak wyżej (blok OKR)"
"okr_vnext_program_policy_versions","ZOSTAJE_KOLIZJA","1","0","1","jak wyżej (blok OKR)"
"okr_vnext_programs","ZOSTAJE_KOLIZJA","1","0","1","UQ częściowy (organization_id) WHERE status=active: jeden aktywny program OKR na organizację. Obie organizacje mają aktywny. Przeniesienie wymagałoby zmiany statusu — to już nie jest przeniesienie, tylko edycja treści."
"okr_vnext_sets","ZOSTAJE_KOLIZJA","1","0","4","jak wyżej (blok OKR)"
"organization_context_claims","CALOSC","18","18","705","dane merytoryczne — jadą w całości"
"organization_context_items","CALOSC","18","18","1799","dane merytoryczne — jadą w całości"
"organization_context_snapshots","ZOSTAJE_KOLIZJA","1","0","1","PK(organization_id): jeden wiersz na organizację. To wyliczany cache kontekstu (rebuilt_at + snapshot_json), organizacja docelowa ma własny, świeższy. Przeniesienie oznaczałoby nadpisanie cache docelowej organizacji opisem „DBR77 Digital Consulting""."
"organization_media","CALOSC","2","2","0","dane merytoryczne — jadą w całości"
"organization_members","CZESC","9","7","9","UQ(organization_id, user_id): 2 z 9 osób (justyna.laskowska, piotr.wisniewski) mają JUŻ członkostwo w organizacji docelowej. Przeniesienie ich wiersza dałoby duplikat. Ich wiersze legacy zostają nietknięte — nikt nie traci dostępu, nikt nie dostaje wyższej roli (justyna jest MEMBER w docelowej, ADMIN w legacy — podniesienie roli to decyzja właściciela, nie skutek uboczny scalenia)."
"presentation_decks","CALOSC","20","20","93","dane merytoryczne — jadą w całości"
"presentation_export_records","CALOSC","8","8","12","dane merytoryczne — jadą w całości"
"presentation_runtime_events","CALOSC","8","8","28","dane merytoryczne — jadą w całości"
"presentation_template_governance_events","CALOSC","5","5","19","dane merytoryczne — jadą w całości"
"presentation_templates","CALOSC","2","2","11","dane merytoryczne — jadą w całości"
"project_role_templates","ZOSTAJE_KOLIZJA","12","0","12","UQ(organization_id, role_key): WSZYSTKIE 12 kluczy ról (OBSERVER, PMO, SME, …) istnieją już w organizacji docelowej — to słownik ról projektowych, nie treść właściciela. Nic nie ginie."
"projects","CALOSC","1","1","15","dane merytoryczne — jadą w całości"
"raid_items","CALOSC","7","7","0","dane merytoryczne — jadą w całości"
"rvn_kpi_definition_versions","CALOSC","1","1","139","dane merytoryczne — jadą w całości"
"rvn_kpi_definitions","CALOSC","1","1","139","dane merytoryczne — jadą w całości"
"rvn_kpi_deviation_cases","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"rvn_kpi_measurements","CALOSC","1","1","1099","dane merytoryczne — jadą w całości"
"rvn_kpi_scorecards","CALOSC","1","1","4","dane merytoryczne — jadą w całości"
"rvn_platform_resource_visibility","CZESC","4","3","151","Wiersz dla resource_type=okr_set wskazuje na zestaw OKR, który zostaje w legacy (kolizja okr_vnext_programs) — przeniesienie dałoby widoczność zasobu, którego w organizacji docelowej nie ma. Pozostałe 3 (kpi, kpi_scorecard, roi_case) MUSZĄ pojechać: visibilityScopedQuery.ts jest fail-closed — zasób bez wiersza widoczności w organizacji jest NIEWIDOCZNY."
"rvn_platform_visibility_policies","ZOSTAJE_KOLIZJA","3","0","4","UQ(organization_id, domain, policy_version): wszystkie 3 (kpi/roi/okr, wersja 1) mają odpowiednik w organizacji docelowej. To konfiguracja polityki widoczności per organizacja, nie treść. Docelowa ma dla roi nowszą wersję 2 (ROI_GOVERNED)."
"rvn_roi_baselines","CALOSC","1","1","4","dane merytoryczne — jadą w całości"
"rvn_roi_cases","CALOSC","1","1","4","dane merytoryczne — jadą w całości"
"rvn_roi_post_investment_reviews","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"tasks","CALOSC","56","56","141","dane merytoryczne — jadą w całości"
"tp_base_templates","CALOSC","1","1","7","dane merytoryczne — jadą w całości"
"tp_bases","CALOSC","7","7","25","dane merytoryczne — jadą w całości"
"transformation_case_audit_events","CALOSC","11","11","9","dane merytoryczne — jadą w całości"
"transformation_cases","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"transformation_plan_steps","CALOSC","15","15","15","dane merytoryczne — jadą w całości"
"transformation_planning_intakes","CALOSC","1","1","0","dane merytoryczne — jadą w całości"
"transformation_plans","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"transformation_stage_proposals","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"users","CALOSC","7","7","9","dane merytoryczne — jadą w całości"
"v8_agent_admin_audit_events","CALOSC","2","2","0","dane merytoryczne — jadą w całości"
"v8_agent_proposal_governance_events","CALOSC","2","2","2","dane merytoryczne — jadą w całości"
"v8_agent_proposal_versions","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"v8_agent_run_identities","CALOSC","1","1","1","dane merytoryczne — jadą w całości"
"v8_agent_tenant_activation_receipts","CALOSC","2","2","0","dane merytoryczne — jadą w całości"
"v8_artifact_origin_links","CZESC","178","79","455","UQ(organization_id, origin_runtime, origin_record_id) = „jeden artefakt na szablon w organizacji"". 99 ze 178 wskazuje na szablony (document/report/presentation/sheet_template), z których organizacja docelowa ma już swój artefakt. Te 99 zostaje; 79 jedzie. To wtórny indeks pochodzenia (artifactRegistryService.getOriginLinkByOrigin) — same artefakty (v8_output_artifacts) jadą w komplecie."
"v8_consumer_tool_policies","CALOSC","35","35","18","dane merytoryczne — jadą w całości"
"v8_context_snapshots","CALOSC","1","1","76","dane merytoryczne — jadą w całości"
"v8_execution_runs","CALOSC","1","1","131","dane merytoryczne — jadą w całości"
"v8_output_artifacts","CALOSC","185","185","519","dane merytoryczne — jadą w całości"
"v8_output_exports","CALOSC","10","10","54","dane merytoryczne — jadą w całości"
"v8_tool_catalog","CALOSC","18","18","18","dane merytoryczne — jadą w całości"
"wave5_artifact_versions","CALOSC","31","31","230","dane merytoryczne — jadą w całości"
"wave5_artifacts","CALOSC","31","31","206","dane merytoryczne — jadą w całości"
"wave6_context_ledger","CALOSC","29","29","2932","dane merytoryczne — jadą w całości"
"wave6_context_snapshots","CALOSC","8","8","1023","dane merytoryczne — jadą w całości"
"wave8_agent_tool_governance_events","CALOSC","2","2","0","dane merytoryczne — jadą w całości"
"work_canvas_drafts","CALOSC","12","12","188","dane merytoryczne — jadą w całości"
"work_canvas_proposals","CALOSC","1","1","53","dane merytoryczne — jadą w całości"
