row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
AEV8-RUNTIME-ARCH-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,557,SSOT,api,E4|E5|E9,The execution stack runtime order is: chat intake -> context assembly -> intent and plan builder -> proposal compiler -> preview builder -> approval gate -> module adapters -> audit logger.,NOT_IMPLEMENTED,,,No chat intake->context assembly->plan builder->proposal compiler->preview->approval->ADAPTER->audit chain exists. Approval gate and audit logger are real (goldenCaseHappyPath); module adapters and preview builder have no code.,80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
AEV8-EXECLAYER-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,590,SSOT,api,E4|E5|E9,"Execution layer owns: adapter dispatch, approval validation, result collection, partial failure handling.",PARTIAL,server/src/services/caseWorkspace/proposalApprovalService.ts|server/src/services/caseWorkspace/executionGraphService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseHappyPath.pg.test.ts:58,PROVEN: approval validation (self-approval refused 403; stale decision 409) and result collection (node result acceptance). MISSING: adapter dispatch and partial-failure handling - no adapter layer exists.,80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
AEV8-AUDITLAYER-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,598,SSOT,event,E4|E5|E9,"Audit layer owns: status trail, actor trail, timestamps, affected artifact refs, final run summary (every run event must be attributable and timestamped).",PARTIAL,server/src/services/caseWorkspace/eventOutboxService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseHappyPath.pg.test.ts:58,"PROVEN: every one of 19 chain events is attributable (actor_user_id non-empty, scheduler events stamped system:*) and timestamped, with affected aggregate refs. MISSING: 'final run summary' - there is no Run aggregate to summarise.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
AEV8-FAILURE-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,649,SSOT,event,E4|E5|E9,"Execution Agent must distinguish between planning failure, validation failure, approval missing, adapter execution failure, partial success, and policy/permission failure; user should never receive one flat 'something went wrong' when the system knows which layer failed.",PARTIAL,server/src/routes/caseWorkspace/_shared/errors.ts,server/src/routes/caseWorkspace/__tests__/contract/errorAndAuthz.contract.pg.test.ts:56,"PROVEN: validation (400 VALIDATION_ERROR), policy/permission (403), wrong-state (409), cross-reference (422) are distinct stable codes - never one flat error. MISSING: adapter execution failure and partial success have no adapter layer to report from.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
AEV8-ASIS-IDEMPOTENCY-01,docs/product/AGENT_EXECUTION_V8_AS_IS.md,324,SSOT,api,E4|E5|E9,"Reusable runtime pattern from actionDecisionService + actionExecutionAdapter: snapshot before execution, correlation IDs, idempotency checks, explicit execution logs, dry-run style thinking — should be carried into the canonical Run/NodeRun execution model.",PARTIAL,server/src/routes/caseWorkspace/_shared/handler.ts,server/src/routes/caseWorkspace/__tests__/contract/idempotencyAndPagination.contract.pg.test.ts:87,"PROVEN: correlation ids end-to-end and idempotency checks (history dedupeKey, wait correlationKey, capability idempotency key). MISSING: pre-execution snapshot and dry-run thinking are not carried into a canonical Run/NodeRun model (no NodeRun table).",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
AEV8-BG-IDEMPOTENCY-01,docs/product/AI_BACKGROUND_AND_SCHEDULED_AGENT_RUNTIME_V8.md,151,SSOT,api,E4|E5|E9,"Platform must add explicit idempotency and replay-safe execution steps, plus checkpoint and resume packs for long-running work, so retries do not duplicate effects.",PARTIAL,server/src/services/caseWorkspace/eventOutboxService.ts,server/src/routes/caseWorkspace/__tests__/contract/idempotencyAndPagination.contract.pg.test.ts:87,"PROVEN: replay-safe commands - a replayed request writes exactly one row (row counts asserted, not response bodies). MISSING: checkpoint/resume packs for long-running work do not exist.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
AEV8-BG-WAITSTATUS-01,docs/product/AI_BACKGROUND_AND_SCHEDULED_AGENT_RUNTIME_V8.md,164,SSOT,event,E4|E5|E9,"Users and operators must be able to distinguish queued, running, waiting, failed, cancelled and completed work as first-class run/job statuses.",PARTIAL,server/src/services/caseWorkspace/waitSubscriptionService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"PROVEN: waiting is first-class and distinguishable from running (wait ACTIVE/EXPIRED, Case BLOCKED). MISSING: queued/running/completed as RUN statuses - there is no canonical Run aggregate.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
CW-00-020-INV10,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,105,CANON,event,E5,"Invariant 10: Waits, human work and external work are durable first-class runtime semantics.",IMPLEMENTED_AND_PROVEN,server/src/services/caseWorkspace/waitSubscriptionService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"A HUMAN wait survives the request that created it (re-read through a fresh app instance and out-of-band from Postgres), is expired later by a separate scheduler actor, and refuses late satisfaction.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
CW-01-026-INV6,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,159,CANON,api,E4|E14,"Cross-mode invariant: Every mutation has idempotency, readback and audit evidence.",PARTIAL,server/src/routes/caseWorkspace/**,server/src/routes/caseWorkspace/__tests__/contract/idempotencyAndPagination.contract.pg.test.ts:87|server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseHappyPath.pg.test.ts:58,PROVEN: readback (API response equals out-of-band Postgres row) and audit evidence (outbox) for EVERY mutation in the chain. PARTIAL on idempotency: only commands with a declared primitive (proposals/waits/history/measurements/links/quarantine) are idempotent; status transitions and plan lifecycle rely on expectedVersion OCC alone.,80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
CW-01-026-INV8,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,161,CANON,event,E5,Cross-mode invariant: Approved human work is protected during retry and rerun.,PARTIAL,server/src/services/caseWorkspace/waitSubscriptionService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"PROVEN: expiry never manufactures approval - zero decision rows and zero approval.* events after a wait expires; late satisfaction refused 409. MISSING: run-level rerun does not exist, so 'protected during rerun' is untestable.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
CW-02-029,docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md,252,CANON,event,E5,"'Running' is forbidden for a step that is actually waiting. The step card must identify who/what is awaited, wait start and expected signal, deadline/SLA, last confirmed contact/heartbeat, reminder/escalation policy, next automatic action, impact on the Case, and permitted 'remind', 'reassign', 'skip', 'retry' or 'cancel' actions.",PARTIAL,server/src/services/caseWorkspace/waitSubscriptionService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"PROVEN (backend half): a waiting step is never reported as running - wait carries its own status, awaited party (waitType/runId), deadline (dueAt/timeoutAt), and the Case goes BLOCKED. MISSING: the step card itself and remind/reassign/skip/retry actions - no UI.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
CW-03-015,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md,103,CANON,event,E4|E5,Live updates: new events never force-scroll a user reading older history; '3 nowe zdarzenia' offers an explicit jump; last confirmed server time remains visible during reconnect; lost connection does not imply a failed Run; duplicate socket/poll events are deduplicated in the UI and runtime.,NOT_IMPLEMENTED,,,"Live-update UX (jump-to-new-events, last confirmed server time, reconnect handling). No UI exists.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:55:00+02:00,
