atomic_id,table_id,module,surface,area,checkpoint_id,severity,observed,expected,recommendation,evidence_path,verified_status,evidence_gate_status
T01-KEBAB-K04,T01,My Work,Ideas,KEBAB,K04,P0,Menu renders about 6 visually separated groups,Maximum 3 zones context→manage→danger,Reduce to at most three canonical zones,tables/T01/evidence/T01__my-work-ideas__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-KEBAB-K14,T01,My Work,Ideas,KEBAB,K14,P1,Disabled Table has appended soon badge,No soon/coming soon comments,Keep disabled item lighter but remove the user-facing comment,tables/T01/evidence/T01__my-work-ideas__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-KEBAB-K15,T01,My Work,Ideas,KEBAB,K15,P1,Both Open and Open preview appear,No semantic duplicate Open/Open preview,Retain distinct actions only when their effects and labels are unambiguous; otherwise remove duplication,tables/T01/evidence/T01__my-work-ideas__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-KEBAB-K18,T01,My Work,Ideas,KEBAB,K18,P1,Measured menu items width 158px,Menu width 220–320px,Use canonical menu width token,tables/T01/evidence/T01__my-work-ideas__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-KEBAB-K19,T01,My Work,Ideas,KEBAB,K19,P1,Most measured items h=28px; disabled Table h=32px,Items h=36px,Normalize every item to h-9,tables/T01/evidence/T01__my-work-ideas__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-MENU_1_2_3-M16,T01,My Work,Ideas,MENU_1_2_3,M16,P1,"1 selected and actions are present, but Clear has no visible X icon",N selected; Clear with X; at least one real action,Add canonical X icon to Clear,tables/T01/evidence/T01__my-work-ideas__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-MENU_1_2_3-M26,T01,My Work,Ideas,MENU_1_2_3,M26,P0,Updated and final action columns extend beyond the right viewport; row kebabs are unavailable,No clipping or lost functionality at 1280x720,Implement zero-sum responsive columns or explicit table overflow that keeps identifier and actions reachable,tables/T01/evidence/T01__my-work-ideas__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-PPM-C01,T01,My Work,Ideas,PPM,C01,P0,Right click on first row produced zero role=menu and zero menuitem,Right click on whole row opens application menu,Connect row contextmenu to the shared RowActionRegistry,tables/T01/evidence/T01__my-work-ideas__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-PPM-C16,T01,My Work,Ideas,PPM,C16,P0,No application PPM was rendered,Evidence shows application PPM,Render application menu and suppress browser menu only within the row handler,tables/T01/evidence/T01__my-work-ideas__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-PREVIEW-P08,T01,My Work,Ideas,PREVIEW,P08,P1,Details is a divider section without visible local kebab,Details card with local kebab,Render canonical Details card and local actions trigger,tables/T01/evidence/T01__my-work-ideas__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-PREVIEW-P13,T01,My Work,Ideas,PREVIEW,P13,P1,No Relations section is visible,Relations card or canonical No relations,Add Relations section or explicit No relations state,tables/T01/evidence/T01__my-work-ideas__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-PREVIEW-P25,T01,My Work,Ideas,PREVIEW,P25,P1,UI reports approximately 11 words,Details prose 80–140 words,Generate contextually useful canonical-length details,tables/T01/evidence/T01__my-work-ideas__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-PREVIEW-P30,T01,My Work,Ideas,PREVIEW,P30,P0,WHAT'S NEXT renders at least 7 horizontally and items extend beyond x=1440,Two columns; max 6 visible actions,Use 2-column grid capped at 6; move overflow into full action menu,tables/T01/evidence/T01__my-work-ideas__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T01-TABLE-T09,T01,My Work,Ideas,TABLE,T09,P1,Measured title wrapper 16px/400 with 24px line-height,Title 14px semibold,Use canonical 14px/600 title token and verify the actual text node,tables/T01/evidence/T01__my-work-ideas__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-KEBAB-K15,T02,My Work,Notebook,KEBAB,K15,P1,Open and Open preview lead to the same full editor state,No semantic duplicate Open/Open preview,Keep separate labels only when effects are distinct; implement real preview or remove duplicate,tables/T02/evidence/T02__my-work-notebook__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-KEBAB-K18,T02,My Work,Notebook,KEBAB,K18,P1,Measured 158px,Menu width 220–320px,Use canonical menu width,tables/T02/evidence/T02__my-work-notebook__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-KEBAB-K19,T02,My Work,Notebook,KEBAB,K19,P1,All four items measure 28px,Every item h=36px,Normalize to h-9,tables/T02/evidence/T02__my-work-notebook__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-KEBAB-K20,T02,My Work,Notebook,KEBAB,K20,P0,Open is rendered with a crimson/pink tone similar to danger,Ordinary actions neutral; crimson only danger,Use neutral color for Open and reserve crimson for Delete,tables/T02/evidence/T02__my-work-notebook__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-MENU_1_2_3-M26,T02,My Work,Notebook,MENU_1_2_3,M26,P0,Manager tab is clipped to a partial icon before New notebook CTA,No clipping or lost Menu 2 function at 1280x720,Provide explicit overflow or reserve width for all Menu 2 destinations and CTA,tables/T02/evidence/T02__my-work-notebook__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-PPM-C12,T02,My Work,Notebook,PPM,C12,P0,"PPM inherits 158px width, 28px items and non-danger Open color error",Canonical menu graphics identical to compliant kebab,Fix shared menu component/tokens once for kebab and PPM,tables/T02/evidence/T02__my-work-notebook__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-PREVIEW-P01,T02,My Work,Notebook,PREVIEW,P01,P0,Both single click and Open preview replace the list with the full Notebook editor,Single click/Open preview opens standard side panel without replacing list,Implement the canonical side preview and reserve Open for the full editor,tables/T02/evidence/T02__my-work-notebook__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-PREVIEW-P03,T02,My Work,Notebook,PREVIEW,P03,P0,Full-width notebook workspace replaces the table,Side panel width 340–480px with table still visible,Render canonical preview beside the list,tables/T02/evidence/T02__my-work-notebook__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T02-TABLE-T27,T02,My Work,Notebook,TABLE,T27,P1,Title subtitle repeats both note count and updated date already present in Notes and Updated columns,No redundant information,Keep descriptive subtitle or remove it; do not duplicate structured columns,tables/T02/evidence/T02__my-work-notebook__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-KEBAB-K18,T03,My Work,Inbox,KEBAB,K18,P1,Measured 205px,Menu width 220–320px,Use canonical menu width,tables/T03/evidence/T03__my-work-inbox__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-KEBAB-K19,T03,My Work,Inbox,KEBAB,K19,P1,All 14 items measure 28px,Every item h=36px,Normalize shared items to h-9,tables/T03/evidence/T03__my-work-inbox__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-KEBAB-K24,T03,My Work,Inbox,KEBAB,K24,P1,Open preview appears after four Snooze presets and Save actions,Manage begins Open preview→Edit/Archive→Delay,Apply canonical context/manage/danger grouping and order,tables/T03/evidence/T03__my-work-inbox__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-MENU_1_2_3-M16,T03,My Work,Inbox,MENU_1_2_3,M16,P1,Clear is rendered without visible X,Clear includes canonical X,Add X icon,tables/T03/evidence/T03__my-work-inbox__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-MENU_1_2_3-M26,T03,My Work,Inbox,MENU_1_2_3,M26,P0,Verified recapture: table remains 1424px wide and exceeds the physical viewport,No clipping/lost functionality at 1280x720,Implement responsive columns or explicit overflow with reachable actions,tables/T03/evidence/T03__my-work-inbox__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-PPM-C12,T03,My Work,Inbox,PPM,C12,P1,PPM inherits noncompliant 205px/28px shared menu,Canonical graphics matching compliant kebab,Fix the shared component once,tables/T03/evidence/T03__my-work-inbox__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-PREVIEW-P25,T03,My Work,Inbox,PREVIEW,P25,P1,UI reports approximately 6 words,Details prose 80–140 words,Provide useful canonical-length details,tables/T03/evidence/T03__my-work-inbox__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-PREVIEW-P30,T03,My Work,Inbox,PREVIEW,P30,P0,Preview exposes Today/Week/Later/Done/Save/Note/Dismiss/Snooze and AI actions; more than six,2-column actions; max 6 visible,Keep six primary contextual actions and move overflow to full menu,tables/T03/evidence/T03__my-work-inbox__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T03-TABLE-T01,T03,My Work,Inbox,TABLE,T01,P0,Verified recapture: table is 1424px wide inside physical 1280x720 viewport,Table fits content or has explicit usable overflow,Use responsive zero-sum columns or explicit reachable overflow,tables/T03/evidence/T03__my-work-inbox__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-KEBAB-K01,T04,My Work,Calendar,KEBAB,K01,P0,15 tbody rows and zero Row actions buttons,Each actionable row has a 32×32 kebab trigger,Add canonical row action trigger to calendar event rows,tables/T04/evidence/T04__my-work-calendar__TABLE__list__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-KEBAB-K05,T04,My Work,Calendar,KEBAB,K05,P0,No kebab menu is available,Row menu exposes Open and entity actions,Implement shared RowActionRegistry for calendar records,tables/T04/evidence/T04__my-work-calendar__TABLE__list__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-MENU_1_2_3-M25,T04,My Work,Calendar,MENU_1_2_3,M25,P1,Calendar embeds a second tool navigation with Today/month navigation and Month/Week/Day/List plus a permanent mini-calendar/source sidebar,Local modes/filters follow canonical hierarchy,Separate the calendar tool from the registered table surface or map controls into the documented menu hierarchy,tables/T04/evidence/T04__my-work-calendar__TABLE__list__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-PPM-C01,T04,My Work,Calendar,PPM,C01,P0,Right click on Cloud Migration Phase 2 produces zero application menus,Right click on event row opens application menu,Attach contextmenu to the calendar record row,tables/T04/evidence/T04__my-work-calendar__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-PPM-C16,T04,My Work,Calendar,PPM,C16,P0,No application PPM is rendered,Evidence shows application PPM,Use shared row menu for PPM,tables/T04/evidence/T04__my-work-calendar__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-PREVIEW-P01,T04,My Work,Calendar,PREVIEW,P01,P0,Clicking Cloud Migration Phase 2 replaces Calendar with a full Initiative view; breadcrumb becomes My Work › Tasks,Single click opens side preview and keeps table visible,Implement a calendar-record preview and keep full Open as a separate action,tables/T04/evidence/T04__my-work-calendar__DIAGNOSTIC__single-click-full-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-PREVIEW-P03,T04,My Work,Calendar,PREVIEW,P03,P0,No side preview is rendered,Preview is 340–480px beside table,Use canonical preview surface,tables/T04/evidence/T04__my-work-calendar__DIAGNOSTIC__single-click-full-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-TABLE-T25,T04,My Work,Calendar,TABLE,T25,P0,"List exposes only Time and Event, grouped by date, with no status/source/owner/action columns","Columns identify, compare and handle calendar records",Build the canonical calendar records table with useful domain columns and row actions,tables/T04/evidence/T04__my-work-calendar__TABLE__list__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T04-TABLE-T28,T04,My Work,Calendar,TABLE,T28,P0,"Calendar surface includes mini-calendar, source legend, integration controls/cards and Month/Week/Day tool modes around the list",Table-only surface between Menu 3 and table,Provide the registered canonical table as the list surface; move calendar tool/dashboard content to a separate tool view,tables/T04/evidence/T04__my-work-calendar__TABLE__list__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T05-KEBAB-K18,T05,My Work,Tasks,KEBAB,K18,P1,Measured 158px,Width 220–320px,Use canonical width,tables/T05/evidence/T05__my-work-tasks__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T05-KEBAB-K19,T05,My Work,Tasks,KEBAB,K19,P1,All 12 items measure 28px,Items h=36px,Use h-9 item token,tables/T05/evidence/T05__my-work-tasks__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T05-MENU_1_2_3-M16,T05,My Work,Tasks,MENU_1_2_3,M16,P1,Shared bulk Clear lacks visible X,Clear with X,Add canonical X,tables/T05/evidence/T05__my-work-tasks__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T05-PPM-C12,T05,My Work,Tasks,PPM,C12,P1,PPM inherits 158px width and 28px items,Canonical shared graphics,Fix shared component,tables/T05/evidence/T05__my-work-tasks__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T05-PREVIEW-P25,T05,My Work,Tasks,PREVIEW,P25,P1,UI reports approximately 30 words,Details prose 80–140 words,Generate canonical-length useful details,tables/T05/evidence/T05__my-work-tasks__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T05-TABLE-T11,T05,My Work,Tasks,TABLE,T11,P1,Tasks without due date render No due date,Every empty cell uses muted em dash,Replace prose placeholder with muted —,tables/T05/evidence/T05__my-work-tasks__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-KEBAB-K11,T06,My Work,Decisions,KEBAB,K11,P0,Reject is third and followed by Edit/Copy link/AI; only Delete is last,Reject/Delete are last in isolated danger zone,Move Reject with Delete to the final danger zone,tables/T06/evidence/T06__my-work-decisions__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-KEBAB-K18,T06,My Work,Decisions,KEBAB,K18,P1,158px,Width 220–320px,Use canonical width,tables/T06/evidence/T06__my-work-decisions__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-KEBAB-K19,T06,My Work,Decisions,KEBAB,K19,P1,All seven items h=28px,Items h=36px,Use h-9 items,tables/T06/evidence/T06__my-work-decisions__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-MENU_1_2_3-M16,T06,My Work,Decisions,MENU_1_2_3,M16,P1,Bulk Clear lacks visible X,Clear with X,Add X icon,tables/T06/evidence/T06__my-work-decisions__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-MENU_1_2_3-M26,T06,My Work,Decisions,MENU_1_2_3,M26,P0,Verified recapture: 1314px table exceeds physical viewport,No clipping at 1280x720,Apply responsive strategy,tables/T06/evidence/T06__my-work-decisions__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-PPM-C05,T06,My Work,Decisions,PPM,C05,P0,Reject precedes neutral manage actions,Danger actions form final zone,Move Reject to final danger zone in shared registry,tables/T06/evidence/T06__my-work-decisions__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-PPM-C12,T06,My Work,Decisions,PPM,C12,P1,PPM inherits 158px/28px geometry,Canonical shared graphics,Fix shared component,tables/T06/evidence/T06__my-work-decisions__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-PREVIEW-P25,T06,My Work,Decisions,PREVIEW,P25,P1,UI reports approximately 31 words,Details prose 80–140 words,Generate canonical-length useful context,tables/T06/evidence/T06__my-work-decisions__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T06-TABLE-T01,T06,My Work,Decisions,TABLE,T01,P0,Verified recapture: table is 1314px wide and exceeds physical 1280x720 viewport,Table fits content or exposes usable overflow,Use responsive zero-sum columns or explicit reachable overflow,tables/T06/evidence/T06__my-work-decisions__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T07-KEBAB-K19,T07,My Work,Client Vault,KEBAB,K19,P1,Open/Open preview are 28px; disabled Delete is 46px,Uniform item height 36px,Use uniform 36px items,tables/T07/evidence/T07__my-work-client-vault__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T07-KEBAB-K20,T07,My Work,Client Vault,KEBAB,K20,P1,Disabled Delete adds a second-line explanatory comment and expands item height,Disabled actions remain in place and are only visually lighter,Remove inline comment; retain a lighter disabled Delete,tables/T07/evidence/T07__my-work-client-vault__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T07-MENU_1_2_3-M14,T07,My Work,Client Vault,MENU_1_2_3,M14,P1,"Rows have no selection controls, so Menu 3 cannot be invoked or audited",Row selection activates documented dynamic Menu 3,Provide canonical row selection and context-appropriate bulk actions,tables/T07/evidence/T07__my-work-client-vault__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T07-PPM-C12,T07,My Work,Client Vault,PPM,C12,P1,PPM inherits non-uniform 28/46px items and disabled explanatory copy,Canonical shared graphics,Fix shared row-action component,tables/T07/evidence/T07__my-work-client-vault__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T07-PREVIEW-P13,T07,My Work,Client Vault,PREVIEW,P13,P1,Preview ends after Recent documents and has no Relations state,Relations or explicit No relations block,Add canonical Relations block or No relations,tables/T07/evidence/T07__my-work-client-vault__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T07-PREVIEW-P25,T07,My Work,Client Vault,PREVIEW,P25,P1,No Details block or explanatory description is present,Details prose 80–140 words when descriptive context is required,Generate concise vault purpose/security context in the canonical region,tables/T07/evidence/T07__my-work-client-vault__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T08-KEBAB-K19,T08,My Work,Run agent,KEBAB,K19,P1,Three items are 28px and Move to folder is 46px,Uniform 36px items,Use uniform 36px rows,tables/T08/evidence/T08__my-work-run-agent__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T08-KEBAB-K20,T08,My Work,Run agent,KEBAB,K20,P1,Move to folder includes No folders yet — create one in the filter bar,"Disabled action is only lighter, without extra comments",Remove the explanatory subtitle,tables/T08/evidence/T08__my-work-run-agent__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T08-MENU_1_2_3-M16,T08,My Work,Run agent,MENU_1_2_3,M16,P1,Clear is text-only,Clear includes X icon,Add X icon,tables/T08/evidence/T08__my-work-run-agent__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T08-PPM-C12,T08,My Work,Run agent,PPM,C12,P1,PPM inherits 28/46px geometry and explanatory disabled copy,Canonical shared graphics,Fix shared component,tables/T08/evidence/T08__my-work-run-agent__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
