file,line,snippet,classification,reason,follow_up_action_id_or_blank
src/components/MyWork/ConvertToDialog.tsx,165,handleConfirm,a,"[heuristic-false-negative] handleConfirm's real effect is 'onConvert(session, targetType)' -- a callback prop. ConvertToDialog is generic MyWork infrastructure reused by Task/Decision/Idea/Notebook conversion flows alike (not Idea-specific); the actual persisted conversion happens wherever the caller binds onConvert, out of this file's scope by the same reasoning as any other prop-forward.",
src/components/MyWork/CreateProgramModal.tsx,206,handleSubmit,b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionAlternativesSection.tsx,287,() => void handleDelete(alt),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionAlternativesSection.tsx,379,() => void handleCreate(),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionCommentsSection.tsx,150,() => void handleDelete(c.id),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionCommentsSection.tsx,196,() => void handleSubmit(),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionDecideBar.tsx,262,() => void submit('APPROVED'),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionDecideBar.tsx,273,() => void submit('REJECTED'),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionDecideBar.tsx,284,() => void submit('RETURNED_FOR_CLARIFICATION'),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionRisksSection.tsx,305,() => void handleDelete(risk),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionRisksSection.tsx,424,() => void handleCreate(),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionWorkspace.tsx,478,() => void handleCreateSubmit(),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Decision/DecisionWorkspace.tsx,489,() => void handleCreateSubmit(),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,5977,() => removeAlternative(alt.id),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
