slug,article_EN,article_PL,article_DE
01_why_public_ai_is_a_security_risk_for_industrial_operations,01_why_public_ai_is_a_security_risk_for_industrial_operations/article_EN.md,01_why_public_ai_is_a_security_risk_for_industrial_operations/article_PL.md,01_why_public_ai_is_a_security_risk_for_industrial_operations/article_DE.md
02_will_your_data_train_someone_elses_model_what_every_manufacturer_should_ask,02_will_your_data_train_someone_elses_model_what_every_manufacturer_should_ask/article_EN.md,02_will_your_data_train_someone_elses_model_what_every_manufacturer_should_ask/article_PL.md,02_will_your_data_train_someone_elses_model_what_every_manufacturer_should_ask/article_DE.md
03_on_prem_vs_cloud_ai_for_manufacturing_what_actually_matters,03_on_prem_vs_cloud_ai_for_manufacturing_what_actually_matters/article_EN.md,03_on_prem_vs_cloud_ai_for_manufacturing_what_actually_matters/article_PL.md,03_on_prem_vs_cloud_ai_for_manufacturing_what_actually_matters/article_DE.md
04_generic_llm_vs_industrial_ai_the_difference_is_bigger_than_accuracy,04_generic_llm_vs_industrial_ai_the_difference_is_bigger_than_accuracy/article_EN.md,04_generic_llm_vs_industrial_ai_the_difference_is_bigger_than_accuracy/article_PL.md,04_generic_llm_vs_industrial_ai_the_difference_is_bigger_than_accuracy/article_DE.md
05_why_factory_data_should_never_be_treated_like_generic_enterprise_data,05_why_factory_data_should_never_be_treated_like_generic_enterprise_data/article_EN.md,05_why_factory_data_should_never_be_treated_like_generic_enterprise_data/article_PL.md,05_why_factory_data_should_never_be_treated_like_generic_enterprise_data/article_DE.md
06_the_hidden_risk_of_uploading_layouts_costs_and_process_know_how_to_public_ai,06_the_hidden_risk_of_uploading_layouts_costs_and_process_know_how_to_public_ai/article_EN.md,06_the_hidden_risk_of_uploading_layouts_costs_and_process_know_how_to_public_ai/article_PL.md,06_the_hidden_risk_of_uploading_layouts_costs_and_process_know_how_to_public_ai/article_DE.md
07_what_private_ai_really_means_in_a_manufacturing_environment,07_what_private_ai_really_means_in_a_manufacturing_environment/article_EN.md,07_what_private_ai_really_means_in_a_manufacturing_environment/article_PL.md,07_what_private_ai_really_means_in_a_manufacturing_environment/article_DE.md
08_how_to_evaluate_an_industrial_ai_vendor_without_getting_lost_in_buzzwords,08_how_to_evaluate_an_industrial_ai_vendor_without_getting_lost_in_buzzwords/article_EN.md,08_how_to_evaluate_an_industrial_ai_vendor_without_getting_lost_in_buzzwords/article_PL.md,08_how_to_evaluate_an_industrial_ai_vendor_without_getting_lost_in_buzzwords/article_DE.md
09_why_ai_governance_matters_more_in_factories_than_in_offices,09_why_ai_governance_matters_more_in_factories_than_in_offices/article_EN.md,09_why_ai_governance_matters_more_in_factories_than_in_offices/article_PL.md,09_why_ai_governance_matters_more_in_factories_than_in_offices/article_DE.md
10_ai_that_recommends_is_useful_ai_that_decides_alone_is_dangerous,10_ai_that_recommends_is_useful_ai_that_decides_alone_is_dangerous/article_EN.md,10_ai_that_recommends_is_useful_ai_that_decides_alone_is_dangerous/article_PL.md,10_ai_that_recommends_is_useful_ai_that_decides_alone_is_dangerous/article_DE.md
