batch_id,product,slug,role,source_prompt_path,current_version,generation_status,review_decision,prompt_patch_needed,rerender_count,approved_for_use,notes
consultify_11_20_r1,Consultify,11_strategic_reporting,hero,Blogs/Consultify/Blog/11_strategic_reporting/image-prompts.md,hero_16x9_v3,generated,approved,no,1,yes,"Codex-only account generation produced a usable boardroom scene with abstract non-readable cards; accepted as current best."
consultify_11_20_r1,Consultify,11_strategic_reporting,analytical,Blogs/Consultify/Blog/11_strategic_reporting/image-prompts.md,analytical_16x9_v3,generated,approved,no,1,yes,"Codex-only account generation produced a clean non-readable tabletop comparison with better operational metaphor; accepted."
consultify_11_20_r1,Consultify,11_strategic_reporting,social,Blogs/Consultify/Blog/11_strategic_reporting/image-prompts.md,social_1x1_v3,generated,approved,no,1,yes,"Codex-only account generation produced a strong square-safe focal image without portrait drift or readable text; accepted."
consultify_11_20_r1,Consultify,12_okr_management,hero,Blogs/Consultify/Blog/12_okr_management/image-prompts.md,hero_16x9_v1,generated,approved,no,0,yes,"Strong boardroom execution context and acceptable realism."
consultify_11_20_r1,Consultify,12_okr_management,analytical,Blogs/Consultify/Blog/12_okr_management/image-prompts.md,analytical_16x9_v3,generated,approved,no,1,yes,"Codex-only account generation produced a cleaner abstract execution-vs-symbolic comparison without readable text; accepted."
consultify_11_20_r1,Consultify,12_okr_management,social,Blogs/Consultify/Blog/12_okr_management/image-prompts.md,social_1x1_v5,generated,approved,no,2,yes,"Codex-only account generation produced a stronger square-safe operating-surface visual without portrait or reporting drift; accepted."
consultify_11_20_r1,Consultify,13_why_board_updates_should_come_from_live_transformation_systems,hero,Blogs/Consultify/Blog/13_why_board_updates_should_come_from_live_transformation_systems/image-prompts.md,hero_16x9_v3,generated,approved,no,1,yes,"Codex-only account generation improved the manual-vs-live contrast and reduced dashboard drift enough for use; accepted."
consultify_11_20_r1,Consultify,13_why_board_updates_should_come_from_live_transformation_systems,analytical,Blogs/Consultify/Blog/13_why_board_updates_should_come_from_live_transformation_systems/image-prompts.md,analytical_16x9_v1,generated,keep_best_available,no,0,yes,"Clear explanatory chain and usable as-is, even though it still leans toward diagram language."
consultify_11_20_r1,Consultify,13_why_board_updates_should_come_from_live_transformation_systems,social,Blogs/Consultify/Blog/13_why_board_updates_should_come_from_live_transformation_systems/image-prompts.md,social_1x1_v3,generated,approved,no,1,yes,"Codex-only account generation produced a clean square-safe control-surface concept without portrait drift or readable text; accepted."
consultify_11_20_r1,Consultify,14_why_strategy_workshops_fail_without_execution_system,hero,Blogs/Consultify/Blog/14_why_strategy_workshops_fail_without_execution_system/image-prompts.md,hero_16x9_v2,generated,approved,no,1,yes,"Best role in this set; clear before-vs-after workshop to execution contrast."
consultify_11_20_r1,Consultify,14_why_strategy_workshops_fail_without_execution_system,analytical,Blogs/Consultify/Blog/14_why_strategy_workshops_fail_without_execution_system/image-prompts.md,analytical_16x9_v2,generated,approved,no,1,yes,"Codex-only account generation produced a stronger tabletop execution metaphor with no readable labels; accepted."
consultify_11_20_r1,Consultify,14_why_strategy_workshops_fail_without_execution_system,social,Blogs/Consultify/Blog/14_why_strategy_workshops_fail_without_execution_system/image-prompts.md,social_1x1_v2,generated,approved,no,1,yes,"Codex-only account generation produced a square-safe workshop-to-execution transition with no portrait drift; accepted for speed-priority pass."
consultify_11_20_r1,Consultify,15_how_to_keep_transformation_roi_visible_after_kickoff,hero,Blogs/Consultify/Blog/15_how_to_keep_transformation_roi_visible_after_kickoff/image-prompts.md,hero_16x9_v3,generated,keep_best_available,no,2,yes,"Codex-only account generation removed the strongest readable-text blocker after prompt patching; style is still illustrative but acceptable for speed-priority use."
consultify_11_20_r1,Consultify,15_how_to_keep_transformation_roi_visible_after_kickoff,analytical,Blogs/Consultify/Blog/15_how_to_keep_transformation_roi_visible_after_kickoff/image-prompts.md,analytical_16x9_v1,generated,keep_best_available,no,0,yes,"Usable explanatory chain, but still close to a slide; acceptable as best available."
consultify_11_20_r1,Consultify,15_how_to_keep_transformation_roi_visible_after_kickoff,social,Blogs/Consultify/Blog/15_how_to_keep_transformation_roi_visible_after_kickoff/image-prompts.md,social_1x1_v2,generated,approved,no,1,yes,"Codex-only account generation produced a clean ROI-control tabletop visual with strong square focus; accepted."
consultify_11_20_r1,Consultify,16_why_steering_committees_fail_when_the_system_is_static,hero,Blogs/Consultify/Blog/16_why_steering_committees_fail_when_the_system_is_static/image-prompts.md,hero_16x9_v2,generated,keep_best_available,no,1,yes,"Concept is clear and usable, though still somewhat dashboard-heavy."
consultify_11_20_r1,Consultify,16_why_steering_committees_fail_when_the_system_is_static,analytical,Blogs/Consultify/Blog/16_why_steering_committees_fail_when_the_system_is_static/image-prompts.md,analytical_16x9_v2,generated,approved,no,1,yes,"Codex-only account generation removed labeled comparison drift and produced a stronger governance control-surface metaphor; accepted."
consultify_11_20_r1,Consultify,16_why_steering_committees_fail_when_the_system_is_static,social,Blogs/Consultify/Blog/16_why_steering_committees_fail_when_the_system_is_static/image-prompts.md,social_1x1_v4,generated,approved,no,2,yes,"Codex-only account generation produced a usable governance control-surface thumbnail without portrait drift or readable text; accepted."
consultify_11_20_r1,Consultify,17_why_transformation_programs_need_one_source_of_truth,hero,Blogs/Consultify/Blog/17_why_transformation_programs_need_one_source_of_truth/image-prompts.md,hero_16x9_v3,generated,keep_best_available,no,2,yes,"Codex-only account generation improved the fragmentation-vs-unification contrast and reduced text clutter enough for speed-priority use."
consultify_11_20_r1,Consultify,17_why_transformation_programs_need_one_source_of_truth,analytical,Blogs/Consultify/Blog/17_why_transformation_programs_need_one_source_of_truth/image-prompts.md,analytical_16x9_v2,generated,approved,no,1,yes,"Codex-only account generation replaced the slide-like pipeline with a distinct vertical evidence-wall metaphor; accepted."
