slug,article_EN,article_PL,article_DE
01_digital_twin_not_3d_model_decision_engine,01_digital_twin_not_3d_model_decision_engine/article_EN.md,01_digital_twin_not_3d_model_decision_engine/article_PL.md,01_digital_twin_not_3d_model_decision_engine/article_DE.md
02_why_capex_decisions_should_be_simulated_before_they_are_approved,02_why_capex_decisions_should_be_simulated_before_they_are_approved/article_EN.md,02_why_capex_decisions_should_be_simulated_before_they_are_approved/article_PL.md,02_why_capex_decisions_should_be_simulated_before_they_are_approved/article_DE.md
03_before_you_buy_a_robot_simulate_it_first,03_before_you_buy_a_robot_simulate_it_first/article_EN.md,03_before_you_buy_a_robot_simulate_it_first/article_PL.md,03_before_you_buy_a_robot_simulate_it_first/article_DE.md
04_why_most_digital_twins_fail,04_why_most_digital_twins_fail/article_EN.md,04_why_most_digital_twins_fail/article_PL.md,04_why_most_digital_twins_fail/article_DE.md
05_how_to_compare_layout_variants_without_guesswork,05_how_to_compare_layout_variants_without_guesswork/article_EN.md,05_how_to_compare_layout_variants_without_guesswork/article_PL.md,05_how_to_compare_layout_variants_without_guesswork/article_DE.md
06_from_manual_inputs_to_live_data_a_practical_digital_twin_roadmap,06_from_manual_inputs_to_live_data_a_practical_digital_twin_roadmap/article_EN.md,06_from_manual_inputs_to_live_data_a_practical_digital_twin_roadmap/article_PL.md,06_from_manual_inputs_to_live_data_a_practical_digital_twin_roadmap/article_DE.md
07_how_simulation_reduces_change_risk_in_production_and_logistics,07_how_simulation_reduces_change_risk_in_production_and_logistics/article_EN.md,07_how_simulation_reduces_change_risk_in_production_and_logistics/article_PL.md,07_how_simulation_reduces_change_risk_in_production_and_logistics/article_DE.md
08_digital_twin_vs_cad_what_decision_makers_need_to_know,08_digital_twin_vs_cad_what_decision_makers_need_to_know/article_EN.md,08_digital_twin_vs_cad_what_decision_makers_need_to_know/article_PL.md,08_digital_twin_vs_cad_what_decision_makers_need_to_know/article_DE.md
09_how_cfos_can_use_simulation_to_validate_roi,09_how_cfos_can_use_simulation_to_validate_roi/article_EN.md,09_how_cfos_can_use_simulation_to_validate_roi/article_PL.md,09_how_cfos_can_use_simulation_to_validate_roi/article_DE.md
10_the_cost_of_rework_when_you_skip_scenario_testing,10_the_cost_of_rework_when_you_skip_scenario_testing/article_EN.md,10_the_cost_of_rework_when_you_skip_scenario_testing/article_PL.md,10_the_cost_of_rework_when_you_skip_scenario_testing/article_DE.md
11_how_to_identify_bottlenecks_before_they_happen,11_how_to_identify_bottlenecks_before_they_happen/article_EN.md,11_how_to_identify_bottlenecks_before_they_happen/article_PL.md,11_how_to_identify_bottlenecks_before_they_happen/article_DE.md
12_simulation_vs_reality_why_your_factory_planning_is_still_wrong,12_simulation_vs_reality_why_your_factory_planning_is_still_wrong/article_EN.md,12_simulation_vs_reality_why_your_factory_planning_is_still_wrong/article_PL.md,12_simulation_vs_reality_why_your_factory_planning_is_still_wrong/article_DE.md
13_five_scenarios_every_factory_should_simulate,13_five_scenarios_every_factory_should_simulate/article_EN.md,13_five_scenarios_every_factory_should_simulate/article_PL.md,13_five_scenarios_every_factory_should_simulate/article_DE.md
14_digital_twin_for_workforce_optimization,14_digital_twin_for_workforce_optimization/article_EN.md,14_digital_twin_for_workforce_optimization/article_PL.md,14_digital_twin_for_workforce_optimization/article_DE.md
15_how_digital_twin_reduces_capex_risk,15_how_digital_twin_reduces_capex_risk/article_EN.md,15_how_digital_twin_reduces_capex_risk/article_PL.md,15_how_digital_twin_reduces_capex_risk/article_DE.md
16_from_static_layout_to_living_factory_model,16_from_static_layout_to_living_factory_model/article_EN.md,16_from_static_layout_to_living_factory_model/article_PL.md,16_from_static_layout_to_living_factory_model/article_DE.md
17_how_to_use_simulation_for_continuous_improvement,17_how_to_use_simulation_for_continuous_improvement/article_EN.md,17_how_to_use_simulation_for_continuous_improvement/article_PL.md,17_how_to_use_simulation_for_continuous_improvement/article_DE.md
18_the_roi_of_digital_twin_in_12_months,18_the_roi_of_digital_twin_in_12_months/article_EN.md,18_the_roi_of_digital_twin_in_12_months/article_PL.md,18_the_roi_of_digital_twin_in_12_months/article_DE.md
19_how_to_build_a_digital_twin_business_case_without_guesswork,19_how_to_build_a_digital_twin_business_case_without_guesswork/article_EN.md,19_how_to_build_a_digital_twin_business_case_without_guesswork/article_PL.md,19_how_to_build_a_digital_twin_business_case_without_guesswork/article_DE.md
20_how_to_run_your_first_simulation_project,20_how_to_run_your_first_simulation_project/article_EN.md,20_how_to_run_your_first_simulation_project/article_PL.md,20_how_to_run_your_first_simulation_project/article_DE.md
21_when_a_factory_should_simulate_before_it_reconfigures_flow,21_when_a_factory_should_simulate_before_it_reconfigures_flow/article_EN.md,21_when_a_factory_should_simulate_before_it_reconfigures_flow/article_PL.md,21_when_a_factory_should_simulate_before_it_reconfigures_flow/article_DE.md
22_how_to_test_capacity_decisions_before_the_next_demand_shift,22_how_to_test_capacity_decisions_before_the_next_demand_shift/article_EN.md,22_how_to_test_capacity_decisions_before_the_next_demand_shift/article_PL.md,22_how_to_test_capacity_decisions_before_the_next_demand_shift/article_DE.md
23_what_to_simulate_before_expanding_a_production_line,23_what_to_simulate_before_expanding_a_production_line/article_EN.md,23_what_to_simulate_before_expanding_a_production_line/article_PL.md,23_what_to_simulate_before_expanding_a_production_line/article_DE.md
24_how_to_compare_capex_options_when_every_scenario_looks_plausible,24_how_to_compare_capex_options_when_every_scenario_looks_plausible/article_EN.md,24_how_to_compare_capex_options_when_every_scenario_looks_plausible/article_PL.md,24_how_to_compare_capex_options_when_every_scenario_looks_plausible/article_DE.md
25_when_manual_factory_decisions_become_too_expensive_to_trust,25_when_manual_factory_decisions_become_too_expensive_to_trust/article_EN.md,25_when_manual_factory_decisions_become_too_expensive_to_trust/article_PL.md,25_when_manual_factory_decisions_become_too_expensive_to_trust/article_DE.md
