row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
AEV8-APPROVAL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,482,SSOT,security,E4|E5|E9,"Approval is mandatory for material mutations: creating durable artifacts, modifying canonical artifacts, workflow transitions, destructive changes, multi-artifact plans, anything that changes accountability or governance state.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-APPROVAL-02,docs/product/AGENT_EXECUTION_V8_SSOT.md,492,SSOT,security,E4|E5|E9,"Auto-execution may only be allowed for low-risk actions: opening a surface, preparing a preview, generating a non-durable draft, local lightweight helper actions explicitly marked safe.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-GOVERNANCE-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,613,SSOT,security,E4|E5|E9,Execution Agent cannot bypass project-role and gate semantics; workflow gates remain governed by canonical roles and transitions.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-GOVERNANCE-02,docs/product/AGENT_EXECUTION_V8_SSOT.md,624,SSOT,security,E4|E5|E9,"Agent may not approve business gates by itself, silently accept governance transitions, or impersonate a project role; it may only propose, prepare, structure, and execute after approval.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-PRIVACY-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,640,SSOT,security,E4|E5|E9,Execution runs must inherit chat and platform privacy rules; private mode and restricted memory modes must be respected.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-ANTIPATTERN-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,661,SSOT,security,E4|E5|E9,"Anti-patterns forbidden: silent artifact mutation, approval button with unclear meaning, artifacts created without clear target refs, chat output claiming work was done when only a suggestion was produced, skipping audit trail because 'it was just AI help'.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-BG-NOBYPASS-01,docs/product/AI_BACKGROUND_AND_SCHEDULED_AGENT_RUNTIME_V8.md,165,SSOT,security,E4|E5|E9,Background execution never bypasses the canonical approval model.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-012,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,68,CANON,security,E6,"Every Case has one visible autonomy policy of three levels: ASK_EACH_ACTION (ask before every step); ASK_MATERIAL_ACTIONS (default; execute safe work, stop at material actions); EXECUTE_APPROVED_PLAN (execute entire disclosed plan, stop only at hard policy boundaries or material scope changes).",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-013,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,74,CANON,security,E6,"The organization sets the maximum allowed autonomy level; a user may choose a lower level. No level bypasses tenancy, permissions, policy, declared scope, cost/time limits, audit or mandatory legal and organizational approvals.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-014,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,78,CANON,security,E1|E8|E6,Teresa may prepare an ephemeral proposal from conversation. A canonical Case is created only after the user confirms an exact work-order summary by button or unambiguous language; silence and continued conversation are not confirmation.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-00-020-INV11,docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md,106,CANON,security,E6,Invariant 11: Approval is bound to an exact proposal version and material digest.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-OD8,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,29,OWNER_DECISION,security,E6,Owner decision: Three autonomy levels are supported and visible before execution.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-013,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,90,CANON,security,E6,Proposal is an exact proposed mutation or plan change; material mutation requires a policy-compliant decision.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-014,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,91,CANON,security,E6,Approval/Decision is a durable human authority record; it is version-bound and auditable.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
CW-01-017,docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md,97,CANON,security,E6,"ASK_EACH_ACTION ('Pytaj przed działaniem'): Teresa analyzes and proposes, then stops before every execution step. Used for high uncertainty, sensitive scope, early discovery and users wanting direct control.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
