row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
MIG-001,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,10,OWNER_DECISION,other,NONE,The migration is incremental; there is no big-bang rewrite and no permanent second Consultify.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-002,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,15,OWNER_DECISION,other,NONE,Frozen owner decision: the current heavy builder remains only a temporary compatibility shell and component donor; a new lightweight Expert View is built over the canonical graph rather than renaming the legacy product surface.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-003,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,18,OWNER_DECISION,other,NONE,Frozen owner decision: new execution converges on Case-bound V8 Run/NodeRun.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-004,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,19,OWNER_DECISION,other,NONE,Frozen owner decision: historical AgentPlans remain readable and auditable.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-005,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,20,OWNER_DECISION,other,NONE,Frozen owner decision: every authorized user may create private Play drafts; shared publication requires an authorized publisher or review; Case-specific plans remain available independently.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-006,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,23,OWNER_DECISION,other,NONE,Frozen owner decision: My Work receives the canonical Case/Run surface before Chat is migrated.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-007,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,24,OWNER_DECISION,other,NONE,"Frozen owner decision: legacy runtime removal happens only after parity and evidence, not on a date or because a replacement UI exists.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-008,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,29,CANON,domain,NONE,"Current-to-target mapping table (migration actions): AgentHubShell -> Case/process hub, KEEP/EXTEND; AgentPlanCanvas -> Simple Graph View, ADAPT; AgentWorkshopPalette -> capability palette, KEEP UI/replace data source; ai_agent_plans -> legacy definition/run record, FREEZE/ADAPT; ai_agent_plan_steps -> legacy linear nodes/status, MAP/PROJECT; wait_until -> TIMER_WAIT, MIGRATE; requires_approval -> approval node/policy, MIGRATE; legacy scheduler -> compatibility dispatch, DEPRECATE after waits parity; ai_actions -> legacy proposal source, ADAPT to canonical decisions; ai_run_ledger -> Action Center compatibility projection, PROJECT from V8; teresa_proposals -> legacy Teresa handoff source, ADAPT then historical read; v8_execution_runs -> canonical Run foundation, EXTEND; v8_action_proposals -> canonical proposal foundation, EXTEND; v8_run_state_transitions -> runtime audit foundation, EXTEND with events/NodeRuns; v8_chat_execution_handoffs -> conversation bridge, EXTEND with Case; v8_chat_action_proposals -> chat rendering projection, KEEP as projection; My Work Process Flow React components -> Expert Graph View primitives, EXTRACT/ADAPT.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-009,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,53,CANON,domain,NONE,"Legacy read adapter: historical AgentPlans are exposed as a synthetic linear graph and history read model; unknown tools, missing project scope or invalid inputs remain explicit; backfill never guesses.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-010,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,59,CANON,domain,NONE,"Legacy execute adapter: only validated linear plans may execute through the adapter, via: create/reuse the Case; freeze an imported CasePlanVersion and digest; create one authoritative V8 Run and NodeRuns; map nodes through LegacyToolAdapter; project V8 state back to legacy screens; store executionEngine = V8_LEGACY_ADAPTER.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-011,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,68,CANON,domain,NONE,"No new branching, wait, proposal or capability feature is added to the legacy executor; unsupported plans remain legacy-read-only or require an explicit migration review.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-012,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,74,CANON,domain,NONE,Proposal adapters: legacy ai_actions and teresa_proposals receive namespaced adapter identities until new proposals are born directly in the canonical proposal service; all UI decisions go through one version-bound decision API; mirroring is replaced by transactional outbox projections and reconciliation.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
MIG-013,docs/product/case-workspace/07_LEGACY_MIGRATION_AND_DELIVERY_PLAN.md,81,DOD,other,E0,"Increment 0 (Baseline and canonical decisions) scope: inventory tables/routes/write paths/active executions; establish authoritative owners; freeze glossary, state machines and ADRs; record exact baseline SHA/worktree/schema. DoD: every object classified KEEP|EXTEND|ADAPT|DEPRECATE|CREATE; every mutation has one target owner; unresolved collisions are EVIDENCE_MISSING, not assumed. Evidence: Git state and exact SHA; real schema/migration inventory; route/service/write-path matrix; active run count and migration eligibility report; accepted ADR/decision register.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
