ID,Tool,Surface,Context,Label/Icon,Expected purpose,Result,Persistence,Sense,Duplicate/where,Recommendation,Evidence
SYS-001,System,Navigation,workspace,List,return to Ideas list,PASS,PASS,CORE,"",Repaired stale activeDocumentId,system__navigation__list-url__workspace-stale.png
SYS-002,System,Context menu,keyboard,Enter/Space,activate focused menu item,PASS,NOT APPLICABLE,CORE,"",Repaired shared CanvasContextMenu and added tests,03_WHITEBOARD_AUDIT.md
SYS-003,System,Representation switcher,open tab,Mind Map/Whiteboard/Process Flow/Table,change active tool and canonical URL,PASS,PASS,CORE,"",Repaired stale open-tab tool metadata,00_ENVIRONMENT_AND_VERSION.md
SYS-004,System,Viewport,1280x800/1440x900/1920x1080,all key controls,remain reachable,PARTIAL,NOT APPLICABLE,CORE,"",Mind Map verified; other tools NOT VERIFIED,cross-tool__viewport__1280x800-mind-map.png
SYS-005,System,Browser zoom,200%,all key controls,remain reachable,PARTIAL,NOT APPLICABLE,CORE,"",Mind Map verified; other tools NOT VERIFIED,cross-tool__browser-zoom__200-percent.png
MM-XLINK,Mind Map,Right rail/PPM,two nodes,Connect/create cross-link,create a non-parent edge,PASS,PASS,CORE,"",Repaired explicit source-target click flow,mind-map__persistence__two-cross-links-after-reopen.png
PF-EDGE,Process Flow,Toolbar,canvas,Connect,create Yes-No branches and correction loop,PASS,PASS,CORE,"",Repaired with explicit source-target flow; persisted after reopen,02_PROCESS_FLOW_AUDIT.md
WB-CONNECT,Whiteboard,Toolbar,two objects,Connect elements,create four links,PASS,PASS,CORE,"",Repaired explicit source-target flow,whiteboard__persistence__four-connections-after-reopen.png
WB-DRAW,Whiteboard,Toolbar,canvas,Draw,create freehand stroke,PASS,PASS,CORE,"",Keep with Clear drawings feedback,whiteboard__scene__freehand-drawing.png
WB-RAIL,Whiteboard,Rail handle,canvas,Move/reset rail,relocate and restore rail,PASS,PASS,USEFUL,"",Repaired click arrows and Home alternatives,whiteboard__rail__reset-home.png
TB-SCHEMA,Table,Columns,portfolio schema,New column typed field,add Nazwa Obszar Koszt Korzyść Ryzyko Właściciel,PASS,PASS,CORE,"",Keep typed field dialog discoverable,table__persistence__required-schema-ai-after-reopen.png
TB-AI-TERM,Table,AI Assistant,command,Preview/result,error or proposal after schema command,PASS,PASS,CORE,"",Repaired deterministic explicit-column preview,table__ai__deadline-column-preview-after-repair.png
