area,epic,disposition,description,paths
v8-runtime,E4,KEEP,"v8_execution_runs is the existing Run entity: org-scoped, state machine (drafting..completed/failed/cancelled/expired), plan_version, goal, metadata, with a full transition audit trail in v8_run_state_transitions and a typed service layer (createRun/transition/list) in executionSpineService.ts. This is directly reusable as THE Run abstraction for E4 rather than inventing a new one.",server/migrations/20260323_v8_execution_spine_00base.sql|server/migrations/20260323_v8_execution_spine.sql|server/src/services/v8/executionSpineService.ts|server/src/types/executionSpine.ts
v8-runtime,E4/E9,KEEP,"v8_agent_work_graphs + v8_agent_branch_tasks already implement exactly the NodeRun concept E4/E9 need: a DAG-ish graph (mode: sequential/hierarchical/router_parallel) of branch tasks each with dependencies_json, status, lease_owner, lease_expires_at, attempt_count, max_attempts. multiAgentWorkManagerService.ts implements claimReadyBranchTasks (CAS lease claim with attempt increment), completeBranchTask/failBranchTask (lease release), retryBranchTask (bounded retry), and executeReadyWorkGraphBranches (orchestration loop). This is the closest thing in the codebase to a per-node run/attempt/lease/recovery primitive and should be the reused base for E9's advanced execution graph.",server/migrations/20260807_v8_multi_agent_work_manager.sql|server/src/services/v8/multiAgentWorkManagerService.ts
v8-runtime,E4,EXTEND,"v8_agent_adapter_invocations + agentAdapterOrchestratorService.ts give a per-node execution-attempt ledger: idempotency_key + input_digest conflict detection, attempt_count, stale-'running' reclaim window, canonical-artifact readback digest verification on replay, and a compensation_policy/compensation_required failure path. Currently keyed by canonical_run_id + transformation_case_id. For Case Workspace this needs extending to also key by (or resolve through) a case_plan_version identifier so a node invocation is pinned to the plan version that produced it, not just the case.",server/migrations/20260807_v8_agent_adapter_orchestration.sql|server/src/services/v8/agentAdapterOrchestratorService.ts
v8-runtime,E4,KEEP,"v8_agent_operator_recovery_events + agentOperatorConsoleService.ts already provide a full recovery/observability console keyed by execution_run_id: surfaces failed/blocked branch tasks with a safeAction (retry_failed_branch, recover_expired_lease, cancel_graph, expire_stale_review) and records every recovery action with before/after JSON. This is directly reusable as the recovery UX/audit backbone for E4 rather than building a new one.",server/migrations/20260807_v8_agent_operator_console.sql|server/src/services/v8/agentOperatorConsoleService.ts
v8-runtime,E4,ADAPT,"v8_agent_run_identities / v8_agent_run_aliases / v8_agent_run_reconciliation_events (agentCanonicalRunService.ts) give a canonical-run identity pattern that binds multiple subsystem execution ids (wave8_run, agent_plan, schedule, work_graph) to one canonical run and reconciles projected vs actual state on drift. Reusable as the pattern for Case Workspace, but v8_agent_run_identities.transformation_case_id is UNIQUE/1:1 and CanonicalRunAliasType is a closed CHECK enum -- both need adapting (new alias_type, e.g. 'case_workspace_run', and a non-transformation-case identity path) since Case Workspace is not transformation_cases.",server/migrations/20260807_v8_agent_run_identity.sql|server/migrations/20260808_v8_agent_canonical_projection_bindings.sql|server/src/services/v8/agentCanonicalRunService.ts
v8-runtime,E4,ADAPT,"agentResourceGovernanceService.ts (reserveAgentResource/releaseAgentResource/settleAgentResource) and agentToolExecutionGovernanceService.ts sit under the adapter dispatch path and provide idempotent resource reservation with lease + retry-detection + budget/cost tracking. Mechanically reusable for node-level tool dispatch in Case Workspace, but the governance policy (allowed tools, cost class, org scoping) is tuned for the existing V8 agent roster and would need Case-Workspace-specific tool scopes/budgets layered on.",server/migrations/20260808_v8_agent_resource_governance.sql|server/src/services/v8/agentResourceGovernanceService.ts|server/src/services/v8/agentToolExecutionGovernanceService.ts
v8-runtime,E4,DEPRECATE,"ai_agent_plans / ai_agent_plan_steps (migration 672) plus the whole-plan lease/fencing columns added in migration 941 (execution_owner_token, execution_fencing_token, execution_lease_expires_at, execution_heartbeat_at, used throughout agentPlannerService.ts) implement a single-agent, sequential, PLAN-level lease -- coarser-grained than and superseded by the per-node branch-task lease model (v8_agent_branch_tasks: lease_owner/lease_expires_at/attempt_count/max_attempts) built later for work graphs. This subsystem is still live and should NOT be deleted -- it backs Teresa's 'Uruchom agenta z Teresy' single-agent chat feature (routes/ai/agent-plan.routes.ts, flag ff_agentPlan) -- but Case Workspace's graph-based E4/E9 execution runtime should not be built on top of it. Only its canonical_run_id column / alias_type='agent_plan' integration point (added in 20260808_v8_agent_canonical_projection_bindings.sql) is worth keeping as a cross-reference, not the plan-level lease mechanics themselves.",server/migrations/672_enterprise_agent_planner.sql|server/migrations/941_ai_agent_plan_execution_lease.sql|server/src/services/ai/agentPlannerService.ts|server/src/routes/ai/agent-plan.routes.ts
v8-runtime,E4,ADAPT,"agentPlannerService.ts's mid-execution checkpoint pattern (releaseLeaseAtCheckpoint -> emits 'agent_checkpoint', pauses at awaiting_approval, resumable) is a genuine pause/resume-on-approval primitive worth carrying forward conceptually, but it is implemented against the plan-level lease being deprecated above. The pattern (not the code) should be re-implemented against v8_agent_branch_tasks' per-node lease instead of ai_agent_plans' per-plan lease.",server/src/services/ai/agentPlannerService.ts
v8-runtime,E9,CREATE,"CasePlanVersion binding does not exist anywhere in the codebase. The closest analogue is transformation_plans/transformation_plan_steps (EPIC-AGENT-T01, migration 20260807_agent_t01_transformation_case.sql): versioned plans (UNIQUE(transformation_case_id, version)) with steps carrying capability_status/approval_class/risk_class/execution_mode -- but it is a PLANNING-time artifact only (transformation_plan_steps.status is CHECK-locked to 'proposed', no runtime attempt/lease columns) and is hard-FK'd to transformation_case_id, not to any Case Workspace entity. E4/E9 need a genuinely new CasePlanVersion table/concept plus the join from a plan version to its v8_agent_work_graphs/v8_agent_branch_tasks (NodeRun) rows, so graph execution is pinned to an immutable plan version rather than just to a case id. The versioning shape (plan_id + version + steps) can be ADAPTed from transformation_plans; the binding itself is new.",server/migrations/20260807_agent_t01_transformation_case.sql|server/src/services/v8/transformationCaseService.ts
v8-runtime,E4/E9,CREATE,"No 'Case Workspace' tables, services, or routes exist anywhere in server/src or server/migrations today -- a repo-wide case-insensitive search for 'case workspace' / 'caseWorkspace' returns zero hits. Everything the reusable Run/NodeRun/lease/recovery machinery above is currently wired to (v8_agent_run_identities.transformation_case_id, adapter invocations' transformation_case_id) is scoped to EPIC-AGENT-T01's transformation_cases, not to any Case Workspace entity. So even though the Run/NodeRun mechanics can be reused, binding them to Case Workspace is new integration work end-to-end: new identity rows, a new alias_type, and new FK surface pointing at whatever the Case Workspace case/plan-version tables turn out to be.",
mywork-chat,E1,EXTEND,"`projects` table is the closest existing 'Case' entity: organization_id, name, description, goal, status, owner_id, initiative_count, assessment_count, member_count, document_count. Defined twice (000_initdb_core_tables.sql and 000_z_core_baseline.sql — reconcile before adding Case-specific columns).",server/migrations/000_initdb_core_tables.sql|server/migrations/000_z_core_baseline.sql
