"ID","Priority","Tool/system","Problem","State","Recommendation","Acceptance criterion","Evidence"
"SYS-P1-01","P1","Ideas shell","List URL retained stale workspace","REPAIRED","Clear active document on canonical module list route","From each tool List renders list and refresh remains there","system__navigation__list-url__workspace-stale.png"
"WB-P1-01","P1","Whiteboard AI","Find themes preferred unrelated organization context","REPAIRED","Require direct grounding in current board elements","No theme unsupported by current labels in 10 runs","whiteboard__ai__find-themes-retest.png"
"MM-P1-01","P1","Mind Map","Mixed sibling input can expose two blank editors","OPEN","Deduplicate insertion event and focus exactly one editor","One invocation creates one sibling and one editor","01_MIND_MAP_AUDIT.md"
"WB-P1-02","P1","Whiteboard","New elements overlap heavily","OPEN","Offset successive insertions or auto-arrange","10 successive elements are individually readable","whiteboard__scene__churn-workshop.png"
"TB-P1-01","P1","Table AI","Unsupported schema result looked like silent success","REPAIRED","Reject empty unsupported mappings and keep a visible actionable outcome","Every submitted command reaches proposal or explicit error","04_TABLE_AUDIT.md"
"SYS-P1-02","P1","Tests","Repaired routing and AI grounding lack targeted regressions","OPEN","Add route reconciliation and prompt-grounding tests","Tests fail on old behavior and pass on repaired behavior","code"
"MM-P2-01","P2","Mind Map","Present duplicated","OPEN","Keep one canonical Present entry","One visible Present action per state","01_MIND_MAP_AUDIT.md"
"MM-P2-02","P2","Mind Map","Import/Export in creation rail","OPEN","Move to document kebab","Export appears once at document scope","01_MIND_MAP_AUDIT.md"
"MM-P2-03","P2","Mind Map","AI scope ambiguous across inspector and rail","OPEN","Label selection branch and document scopes","Every AI action states target scope","01_MIND_MAP_AUDIT.md"
"PF-P2-01","P2","Process Flow","Creation actions duplicated toolbar/rail","OPEN","Differentiate palette or remove duplicate set","One obvious primary creation path","02_PROCESS_FLOW_AUDIT.md"
"PF-P2-02","P2","Process Flow","New lane not immediately named","OPEN","Enter inline lane naming after add","Add Lane focuses label and persists it","02_PROCESS_FLOW_AUDIT.md"
"WB-P2-01","P2","Whiteboard","Naming requires undisclosed double-click","OPEN","Start inline edit or expose Rename","New sticky can be named without prior knowledge","03_WHITEBOARD_AUDIT.md"
"WB-P2-02","P2","Whiteboard AI","Default labels yield generic themes","OPEN","Gate/coach AI until meaningful labels exist","Find themes explains missing semantic input","03_WHITEBOARD_AUDIT.md"
"TB-P2-01","P2","Table","Toolbar exposes product-level advanced actions","OPEN","Move Forms Interfaces Models Workflow Webhooks under More","Default bar contains core table work only","04_TABLE_AUDIT.md"
"TB-P2-02","P2","Table","Row Columns Undo duplicated in rail","OPEN","Define rail as compact alternative or remove duplicates","No unexplained duplicate actions","04_TABLE_AUDIT.md"
"MM-P3-01","P3","Mind Map","Inspector label Tool means appearance","OPEN","Rename to Appearance or Style","Label predicts contents in EN and PL","01_MIND_MAP_AUDIT.md"
"PF-P3-01","P3","Process Flow","Fit view hard to discover at high zoom","OPEN","Expose Fit view beside zoom","One click fits all lanes and steps","02_PROCESS_FLOW_AUDIT.md"
"TB-P3-01","P3","Table","Initial 0-record state under-explains templates","OPEN","Foreground templates and example row","First-time user creates useful table without hunting","04_TABLE_AUDIT.md"
"SYS-P3-01","P3","Cross-tool","AI scope terminology inconsistent","OPEN","Use shared scope vocabulary","Same scope names in all four tools","06_CROSS_TOOL_SUMMARY.md"
"SYS-P1-02","P1","Cross-tool","Focused canvas context-menu command ignored Enter/Space","REPAIRED","Explicitly click focused role=menuitem and keep roving focus","Runtime keyboard opens Comments and focused tests pass","03_WHITEBOARD_AUDIT.md"
"SYS-P1-03","P1","Ideas shell","Open tab retained stale tool metadata and URL","REPAIRED","Merge route-owned data and sync canonical workspace URL","Table/Process Flow/Whiteboard survive refresh on correct route","00_ENVIRONMENT_AND_VERSION.md"
"SYS-P1-04","P1","Cross-tool","Relation creation depends on pointer drag","OPEN","Add visible two-step source-target Connect command","Required MM/PF/WB relations can be created by keyboard","06_CROSS_TOOL_SUMMARY.md"
"MM-P1-03","P1","Mind Map","Connect mode exposed handles but node clicks replaced selection","REPAIRED","Use explicit source then target node clicks with status feedback","Two cross-links increase edge count and persist after reopen","01_MIND_MAP_AUDIT.md"
"PF-P1-02","P1","Process Flow","Edge labels properties and loop were not discoverable","REPAIRED","Added visible source-target Connect with deterministic Yes-No and correction-loop labels","Two labelled branches and correction loop persist after reopen: PASS","02_PROCESS_FLOW_AUDIT.md"
"WB-P1-04","P1","Whiteboard","Freehand and rail relocation are pointer-only","OPEN","Add keyboard alternatives and explicit gesture feedback","Stroke and rail move/reset work without raw coordinate drag","03_WHITEBOARD_AUDIT.md"
"WB-P1-03","P1","Whiteboard","No explicit non-drag connection workflow","REPAIRED","Add Connect elements source-target flow","Four edges persist after reopen","03_WHITEBOARD_AUDIT.md"
"WB-P1-04A","P1","Whiteboard rail","Rail move had no reliable accessible fallback","REPAIRED","Add click side switch arrows and Home reset","Move and reset states have separate screenshots","03_WHITEBOARD_AUDIT.md"
"TB-P1-02","P1","Table","Required typed business schema cannot be assembled naturally","OPEN","Add Add-field wizard for text number select person","Area Cost Benefit Risk Owner added in at most 10 clicks","04_TABLE_AUDIT.md"
"TB-P1-03","P1","Table AI","Schema commands show no visible terminal outcome","OPEN","Always retain command and show proposal or actionable error","Deadline command never closes silently","04_TABLE_AUDIT.md"
"TB-P1-02A","P1","Table","Required typed schema path was hidden in Columns popover","VERIFIED","Keep New column entry and expose it in empty-state guidance","Eight required columns and 11 rows persist","04_TABLE_AUDIT.md"
"TB-P1-03A","P1","Table AI","Explicit field command depended on backend operation shape","REPAIRED","Generate deterministic preview for explicit name plus primitive type","Deadline preview applies and persists","04_TABLE_AUDIT.md"
"TB-P2-03","P2","Table AI","Unlabelled X beside input was mistaken for Submit","OPEN","Add labelled Send button and tooltip Close on X","User submits with one obvious click or Enter","04_TABLE_AUDIT.md"
