row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
AEV8-LIFECYCLE-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,314,SSOT,domain,E4|E5|E9,Canonical execution lifecycle for a run: draft_intake -> planning -> proposed -> pending_review -> approved_partial|approved_full|rejected -> executing -> completed_partial|completed_full|failed -> audited.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-LIFECYCLE-02,docs/product/AGENT_EXECUTION_V8_SSOT.md,316,SSOT,domain,E4|E5|E9,approved is not equal to executed; partial approval must be first-class; partial completion must be first-class; failures cannot erase the proposal trail; user must see whether the run is still open or closed.,NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-RUN-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,327,SSOT,domain,E4|E5|E9,"ExecutionAgentRun represents one governed unit of work started from chat and must contain: runId, conversationId, organizationId, projectId?, initiatedBy, goal, status, plan, artifactsInScope, sourceContextRefs, approvalState, executionSummary, createdAt, updatedAt, completedAt?.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-PLAN-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,348,SSOT,domain,E4|E5|E9,"ExecutionPlan represents the reviewable plan of work and must contain: planId, goalSummary, steps[], assumptions[], risks[], approvalCheckpoints[], estimatedImpact, estimatedCostOrEffort?.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-STEP-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,362,SSOT,domain,E4|E5|E9,"ExecutionStep (the run's node/step-level unit) represents one step in the plan and must contain: stepId, type, purpose, targetArtifactRef?, dependsOn[], proposalRefs[], status, result?.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-PROPOSAL-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,376,SSOT,domain,E4|E5|E9,"ActionProposal represents one reviewable intended mutation or creation and must contain: proposalId, actionType, target, summary, reason, riskLevel, approvalRequired, preview, status, createdAt, resolvedAt?.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-PREVIEW-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,393,SSOT,domain,E4|E5|E9,"ActionPreview (user-facing preview of a change) can include: diff, before/after, createdObjects, updatedFields, destructiveImpact, followupEffects.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-RESULT-MODEL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,405,SSOT,domain,E4|E5|E9,"ExecutionResult represents the actual outcome and must contain: success, appliedChanges[], failedChanges[], createdArtifactRefs[], updatedArtifactRefs[], auditRef.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-DESTRUCTIVE-CLASS-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,469,SSOT,domain,E4|E5|E9,"Every action must be classified as one of: safe_additive, safe_update, sensitive_update, destructive, governance_transition; approval expectations derive partly from this class.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
AEV8-APPROVAL-01,docs/product/AGENT_EXECUTION_V8_SSOT.md,482,SSOT,security,E4|E5|E9,"Approval is mandatory for material mutations: creating durable artifacts, modifying canonical artifacts, workflow transitions, destructive changes, multi-artifact plans, anything that changes accountability or governance state.",NOT_IMPLEMENTED,,,,80d75f24ce01751639e572226f4e52b30503cd22,claude-coordinator,2026-08-09T20:05:00+02:00,
