id,name,status,created_at
"init-drd-test-05","OT/IT Network Segmentation & Hardening","PENDING_APPROVAL","2026-07-25T21:08:24.688Z"
"init-siri-09","PLM-MES Integration for Recipe Management","IN_EXECUTION","2026-07-25T21:08:25.127Z"
"init-adma-08","Digital Strategy Cascading Workshops","CLOSED","2026-07-25T21:08:25.205Z"
"init-drd-final-04","SOC Enhancement — SIEM Full Deployment","PENDING_APPROVAL","2026-07-26T21:08:24.824Z"
"init-drd-test-02","AI Predictive Quality System","APPROVED","2026-07-27T21:08:24.628Z"
"init-drd-test-09","Digital Twin — Pilot for Line 1","PENDING_APPROVAL","2026-07-28T21:08:24.740Z"
"init-adma-03","Shop Floor Analytics Dashboard","PENDING_APPROVAL","2026-07-31T21:08:25.168Z"
"init-drd-test-04","Digital Skills Academy — Phase 1","APPROVED","2026-08-01T21:08:24.673Z"
"init-drd-final-03","Customer 360 & CRM Enhancement","APPROVED","2026-08-01T21:08:24.791Z"
"init-siri-08","AGV Fleet Expansion & Traffic Management","PENDING_APPROVAL","2026-08-01T21:08:25.119Z"
"init-adma-01","Product Data Platform (PDP) — Greenfield","DRAFT","2026-08-02T21:08:25.149Z"
"init-siri-07","Digital Leadership KPI Dashboard","CLOSED","2026-08-04T21:08:25.111Z"
"init-adma-06","ERP-MES Real-time Integration","APPROVED","2026-08-04T21:08:25.189Z"
"init-drd-final-05","Demand Forecasting ML Enhancement","PENDING_APPROVAL","2026-08-05T21:08:24.845Z"
"init-drd-final-02","AI Governance & Ethics Framework","APPROVED","2026-08-06T21:08:24.779Z"
"init-drd-final-08","Master Data Management — Product Data","CLOSED","2026-08-06T21:08:24.947Z"
"init-drd-final-10","Robotic Process Automation — HR & Finance","PENDING_APPROVAL","2026-08-06T21:08:25.051Z"
"init-siri-03","Real-time Analytics Platform (BI Upgrade)","PENDING_APPROVAL","2026-08-09T21:08:25.071Z"
"init-siri-10","Industrial WiFi 6 Network Upgrade","REJECTED","2026-08-10T21:08:25.135Z"
"init-drd-test-08","Supply Chain Visibility Dashboard","CLOSED","2026-08-11T21:08:24.729Z"
"init-adma-04","Change Management & Digital Culture Program","APPROVED","2026-08-11T21:08:25.173Z"
"init-adma-10","Dynamic Production Scheduling Pilot","DRAFT","2026-08-12T21:08:25.224Z"
"init-drd-test-03","Data Governance Framework","PENDING_APPROVAL","2026-08-13T21:08:24.654Z"
"init-drd-test-07","Energy Management & Carbon Tracking","CLOSED","2026-08-13T21:08:24.721Z"
"init-siri-02","Predictive Maintenance — CNC Machines","APPROVED","2026-08-13T21:08:25.065Z"
"init-drd-test-06","IoT Sensor Expansion — Remaining Assets","DRAFT","2026-08-14T21:08:24.700Z"
"init-siri-05","Edge Computing Deployment — Plant A","DRAFT","2026-08-14T21:08:25.098Z"
"init-drd-final-06","Digital Academy — Enterprise-wide Program","IN_EXECUTION","2026-08-15T21:08:24.866Z"
"init-siri-01","OPC-UA Migration & Industrial Connectivity Standard","IN_EXECUTION","2026-08-16T21:08:25.058Z"
"init-adma-09","Automated Changeover Optimization","DRAFT","2026-08-16T21:08:25.212Z"
"init-drd-test-01","MES Full Rollout — Line 3 Deployment & Integration","IN_EXECUTION","2026-08-17T21:08:24.611Z"
"init-drd-test-10","MLOps Pipeline Setup","REJECTED","2026-08-17T21:08:24.749Z"
"init-adma-02","OPC-UA Migration & Edge Gateway","PENDING_APPROVAL","2026-08-17T21:08:25.158Z"
"init-drd-final-07","B2B Marketplace International Expansion","DRAFT","2026-08-19T21:08:24.906Z"
"init-drd-final-09","Process Mining — Finance & Procurement","CLOSED","2026-08-19T21:08:25.018Z"
"seed_ri_init_approval_sla","Approval SLA and escalation governance","DRAFT","2026-08-20T21:08:11.011Z"
"init-siri-06","Supplier Portal & EDI Integration","PENDING_APPROVAL","2026-08-20T21:08:25.103Z"
"init-adma-05","IoT Product Enhancement — Remote Monitoring","DRAFT","2026-08-20T21:08:25.182Z"
"seed_ri_init_kpi_contract","KPI contract and metric ownership","PENDING_APPROVAL","2026-08-21T21:08:11.018Z"
"init-drd-final-01","Enterprise Data Platform Modernization","IN_EXECUTION","2026-08-21T21:08:24.765Z"
"seed_ri_init_handoff_automation","Planning-to-execution handoff automation","PENDING_APPROVAL","2026-08-22T21:08:11.023Z"
"init-siri-04","Operator Upskilling Program — 50 Pilot","APPROVED","2026-08-22T21:08:25.089Z"
"init-adma-07","Supply Chain Visibility — Phase 1","PENDING_APPROVAL","2026-08-22T21:08:25.197Z"
"seed_ri_init_smed_line3","SMED pilot on Line 3","PENDING_APPROVAL","2026-08-23T21:08:11.026Z"
"seed_ri_init_decision_rights","Decision rights redesign for exceptions","PENDING_APPROVAL","2026-08-24T21:08:11.030Z"
"seed_ri_init_weekly_portfolio_board","Weekly transformation portfolio board","APPROVED","2026-08-25T21:08:11.036Z"
"seed_ri_init_data_lineage","Data lineage for critical KPI set","APPROVED","2026-08-26T21:08:11.040Z"
"seed_ri_init_it_capacity_buffer","IT capacity buffer and sequencing","IN_EXECUTION","2026-08-27T21:08:11.044Z"
"seed_ri_init_change_adoption","Change adoption champions network","IN_EXECUTION","2026-08-28T21:08:11.050Z"
"seed_ri_init_exception_board","Exception management board","CLOSED","2026-08-29T21:08:11.053Z"
"seed_ri_init_benefits_tracking","Benefits tracking model","CLOSED","2026-08-30T21:08:11.058Z"
"seed_ri_init_contradiction_research","Contradiction clarification interviews","REJECTED","2026-08-31T21:08:11.081Z"
"seed_ri_init_archive_example","Legacy reporting cleanup initiative","CLOSED","2026-09-01T21:08:11.086Z"
