slug,article_EN,article_PL,article_DE
01_why_most_automation_projects_never_start,01_why_most_automation_projects_never_start/article_EN.md,01_why_most_automation_projects_never_start/article_PL.md,01_why_most_automation_projects_never_start/article_DE.md
02_the_hidden_cost_of_manual_processes_in_manufacturing,02_the_hidden_cost_of_manual_processes_in_manufacturing/article_EN.md,02_the_hidden_cost_of_manual_processes_in_manufacturing/article_PL.md,02_the_hidden_cost_of_manual_processes_in_manufacturing/article_DE.md
03_why_hiring_more_people_is_not_a_strategy_anymore,03_why_hiring_more_people_is_not_a_strategy_anymore/article_EN.md,03_why_hiring_more_people_is_not_a_strategy_anymore/article_PL.md,03_why_hiring_more_people_is_not_a_strategy_anymore/article_DE.md
04_what_automation_really_means_in_2026,04_what_automation_really_means_in_2026/article_EN.md,04_what_automation_really_means_in_2026/article_PL.md,04_what_automation_really_means_in_2026/article_DE.md
05_the_biggest_myths_about_industrial_automation,05_the_biggest_myths_about_industrial_automation/article_EN.md,05_the_biggest_myths_about_industrial_automation/article_PL.md,05_the_biggest_myths_about_industrial_automation/article_DE.md
06_why_automation_feels_overwhelming,06_why_automation_feels_overwhelming/article_EN.md,06_why_automation_feels_overwhelming/article_PL.md,06_why_automation_feels_overwhelming/article_DE.md
07_the_real_reason_plants_delay_automation_decisions,07_the_real_reason_plants_delay_automation_decisions/article_EN.md,07_the_real_reason_plants_delay_automation_decisions/article_PL.md,07_the_real_reason_plants_delay_automation_decisions/article_DE.md
08_how_to_identify_the_best_processes_to_automate_first,08_how_to_identify_the_best_processes_to_automate_first/article_EN.md,08_how_to_identify_the_best_processes_to_automate_first/article_PL.md,08_how_to_identify_the_best_processes_to_automate_first/article_DE.md
09_how_to_compare_automation_vendors_effectively,09_how_to_compare_automation_vendors_effectively/article_EN.md,09_how_to_compare_automation_vendors_effectively/article_PL.md,09_how_to_compare_automation_vendors_effectively/article_DE.md
10_the_real_cost_of_automation,10_the_real_cost_of_automation/article_EN.md,10_the_real_cost_of_automation/article_PL.md,10_the_real_cost_of_automation/article_DE.md
11_how_to_run_an_automation_pilot_project,11_how_to_run_an_automation_pilot_project/article_EN.md,11_how_to_run_an_automation_pilot_project/article_PL.md,11_how_to_run_an_automation_pilot_project/article_DE.md
12_how_to_reduce_risk_in_automation_projects,12_how_to_reduce_risk_in_automation_projects/article_EN.md,12_how_to_reduce_risk_in_automation_projects/article_PL.md,12_how_to_reduce_risk_in_automation_projects/article_DE.md
13_when_not_to_automate_and_why_waiting_can_be_the_right_decision,13_when_not_to_automate_and_why_waiting_can_be_the_right_decision/article_EN.md,13_when_not_to_automate_and_why_waiting_can_be_the_right_decision/article_PL.md,13_when_not_to_automate_and_why_waiting_can_be_the_right_decision/article_DE.md
14_how_to_write_a_better_automation_challenge_brief,14_how_to_write_a_better_automation_challenge_brief/article_EN.md,14_how_to_write_a_better_automation_challenge_brief/article_PL.md,14_how_to_write_a_better_automation_challenge_brief/article_DE.md
15_what_to_include_in_an_automation_rfq_or_rfp,15_what_to_include_in_an_automation_rfq_or_rfp/article_EN.md,15_what_to_include_in_an_automation_rfq_or_rfp/article_PL.md,15_what_to_include_in_an_automation_rfq_or_rfp/article_DE.md
16_how_to_compare_robot_integrators_oems_and_turnkey_suppliers,16_how_to_compare_robot_integrators_oems_and_turnkey_suppliers/article_EN.md,16_how_to_compare_robot_integrators_oems_and_turnkey_suppliers/article_PL.md,16_how_to_compare_robot_integrators_oems_and_turnkey_suppliers/article_DE.md
17_what_a_good_automation_offer_should_make_visible,17_what_a_good_automation_offer_should_make_visible/article_EN.md,17_what_a_good_automation_offer_should_make_visible/article_PL.md,17_what_a_good_automation_offer_should_make_visible/article_DE.md
18_when_to_standardize_and_when_to_customize_an_automation_project,18_when_to_standardize_and_when_to_customize_an_automation_project/article_EN.md,18_when_to_standardize_and_when_to_customize_an_automation_project/article_PL.md,18_when_to_standardize_and_when_to_customize_an_automation_project/article_DE.md
19_how_to_align_operations_engineering_and_procurement_before_automation_buying,19_how_to_align_operations_engineering_and_procurement_before_automation_buying/article_EN.md,19_how_to_align_operations_engineering_and_procurement_before_automation_buying/article_PL.md,19_how_to_align_operations_engineering_and_procurement_before_automation_buying/article_DE.md
20_what_to_check_before_signing_an_automation_contract,20_what_to_check_before_signing_an_automation_contract/article_EN.md,20_what_to_check_before_signing_an_automation_contract/article_PL.md,20_what_to_check_before_signing_an_automation_contract/article_DE.md
21_how_to_scope_an_automation_project_without_overcomplicating_it,21_how_to_scope_an_automation_project_without_overcomplicating_it/article_EN.md,21_how_to_scope_an_automation_project_without_overcomplicating_it/article_PL.md,21_how_to_scope_an_automation_project_without_overcomplicating_it/article_DE.md
22_how_to_keep_automation_momentum_after_the_first_vendor_meetings,22_how_to_keep_automation_momentum_after_the_first_vendor_meetings/article_EN.md,22_how_to_keep_automation_momentum_after_the_first_vendor_meetings/article_PL.md,22_how_to_keep_automation_momentum_after_the_first_vendor_meetings/article_DE.md
23_how_to_check_automation_supplier_references_without_wasting_time,23_how_to_check_automation_supplier_references_without_wasting_time/article_EN.md,23_how_to_check_automation_supplier_references_without_wasting_time/article_PL.md,23_how_to_check_automation_supplier_references_without_wasting_time/article_DE.md
24_when_to_use_a_shortlist_and_when_to_keep_more_suppliers_in_play,24_when_to_use_a_shortlist_and_when_to_keep_more_suppliers_in_play/article_EN.md,24_when_to_use_a_shortlist_and_when_to_keep_more_suppliers_in_play/article_PL.md,24_when_to_use_a_shortlist_and_when_to_keep_more_suppliers_in_play/article_DE.md
25_what_fat_and_sat_should_actually_prove_before_go_live,25_what_fat_and_sat_should_actually_prove_before_go_live/article_EN.md,25_what_fat_and_sat_should_actually_prove_before_go_live/article_PL.md,25_what_fat_and_sat_should_actually_prove_before_go_live/article_DE.md
26_how_to_compare_automation_commercial_models_not_just_prices,26_how_to_compare_automation_commercial_models_not_just_prices/article_EN.md,26_how_to_compare_automation_commercial_models_not_just_prices/article_PL.md,26_how_to_compare_automation_commercial_models_not_just_prices/article_DE.md
