backlog_id,module,surface_id,severity,category,current_state,expected_state,evidence_path,contract_reference,runtime_status,recommended_action,dependency,acceptance_criteria,owner_packet,status
PLAT-R2-001,PLATFORM,migration-readiness,P0,schema-integrity,"Resolved by exact approved historical checksum compatibility; deployed startup reports zero pending and no failure","Zero unexplained checksum drift before runtime migrations execute","Railway deployment 92d08799-bcfd-49dc-9f83-15f34afe8960; server/scripts/preflight-pending-migrations.ts","Complete MVP deployment readiness","MVP_DEMO_READY_WITH_BACKLOG","Retain immutable manifest and fail-closed regression tests; never rewrite history blindly","none","Preflight remains zero drift and runtime startup remains green",platform-release,CLOSED
PLAT-R2-002,PLATFORM,fresh-schema,P1,schema-order,"Resolved; strict fresh PostgreSQL completed all 534 versioned migrations","Strict fresh schema reaches the end with no skipped or swallowed migration","strict fresh PostgreSQL evidence 2026-08-05","Complete MVP schema readiness","MVP_DEMO_READY_WITH_BACKLOG","Retain strict fresh-schema test as a release gate","none","Fresh strict migration exits 0 and schema verification passes",platform-schema,CLOSED
PLAT-R2-003,PLATFORM,migration-ledger,P2,data-hygiene,"Demo has 170 legacy NULL checksums and 21 orphan history rows","Every active migration is verifiable and orphan history is documented","read-only Table Platform preflight 2026-08-05","Round 2 hardening","RUNTIME_DEGRADED","Create a governed reconciliation runbook and immutable ledger baseline","PLAT-R2-001","Preflight reports no unexplained orphan or unverifiable active entries",platform-schema,OPEN
PLAT-R2-004,PLATFORM,schema-migrations-ledger,P1,schema-readiness,"Runtime owner is proven and deployed with 410/410 up to date; the legacy manual ledger/discovery surface still differs","One authoritative migration identity and ledger contract","Railway deployment 92d08799-bcfd-49dc-9f83-15f34afe8960 plus read-only migrate.postgres dry-run","Round 2 hardening","MVP_DEMO_READY_WITH_BACKLOG","Converge schema_migrations and tp_migration_history ownership without replaying historical DDL","none","Both read-only inventories agree or the legacy runner is formally retired",platform-release,OPEN
M04-R2-001,M04,tools-complete-mvp,P1,evidence-gap,"Live demo proves Library with 36 tools and Sessions with 25 records but no current-cycle create/edit/save/reopen/tenant packet","Tools has full matrix golden flows persistence visual QA and negative control evidence","deployed Chrome evidence on dcf1678bb150; CONSULTIFY_COMPLETE_MVP_CHECKPOINT.md","Complete MVP item 1-10","MVP_DEMO_FIX_REQUIRED","Run one bounded M04 Tools Complete MVP acceptance packet without importing the stale agent branch","integrated business scenario and isolated tenant fixture","M04 evidence manifest satisfies all ten Complete MVP items",m04-tools,OPEN
M09-R2-001,M09,documents-workbooks-scope,P1,evidence-gap,"Presentations repair is deployed and verified; Document Studio breadth and workbook/Excel lifecycle are not fully accepted","Documents has full artifact lifecycle evidence and workbook is either accepted or explicitly out of MVP by product decision","42/42 repair suite; deployed Chrome evidence on dcf1678bb150","M09 Materials contract","MVP_DEMO_READY_WITH_BACKLOG","Run Document Studio integrated flow and make explicit workbook MVP scope decision","product decision","Documents golden flow passes and workbook has an explicit accepted or out-of-scope classification",m09-materials,OPEN
M11-R2-001,M11,audits-complete-mvp,P1,evidence-gap,"Live demo proves Audit programs filters and honest empty state; no populated create/save/reopen/tenant evidence exists","Audits has full matrix golden flows persistence visual QA and tenant negative control evidence","deployed Chrome evidence on dcf1678bb150; CONSULTIFY_COMPLETE_MVP_CHECKPOINT.md","Complete MVP item 1-10","MVP_DEMO_FIX_REQUIRED","Run one bounded M11 Complete MVP acceptance packet using an isolated fixture instead of demo data","isolated audit fixture","M11 evidence manifest satisfies all ten Complete MVP items",m11-audits,OPEN
M13-R2-001,M13,organization-role-performance,P2,authorization-performance,"Authenticated tenant context is correct and no longer fails on 304; the live request still performs 12 DB queries","Full role matrix with bounded tenant-context query cost","Railway logs for deployment 92d08799-bcfd-49dc-9f83-15f34afe8960","M13 Organization contract","MVP_DEMO_READY_WITH_BACKLOG","Add deep role-matrix coverage and reduce duplicate membership/context reads","Round 2 performance packet","All roles fail closed across tenants and current-context query count is within agreed budget",m13-organization,OPEN
M14-R2-001,M14,security-mfa,P1,flagged-off,"MFA and backup-code surfaces are honestly unavailable in MVP demo; user_mfa readiness is not accepted","Versioned MFA schema and fully persistent setup verify disable and recovery flows","src/utils/mfaMvpFlag.ts; tests/unit/components/settings/AuthenticationAccessPage.honesty.test.tsx","M14 Settings contract","FLAGGED_OFF","Build user_mfa migration and full 2FA acceptance in Round 2","security product decision","MFA positive negative recovery and fresh-reopen flows pass on real PostgreSQL",m14-settings,OPEN
M15-R2-001,M15,admin-realdb,P2,test-evidence,"Admin fail-closed persistence tests use a controlled DB seam but no module-specific real PostgreSQL run was captured","At least one Admin billing or People negative control runs against isolated PostgreSQL","server/src/routes/__tests__/adminP32.billingAlerts.honesty.test.ts","Complete MVP item 9","MVP_DEMO_READY_WITH_BACKLOG","Add one isolated realPG Admin persistence test","platform release gate","RealPG positive and failed-write controls pass",m15-admin,OPEN
