row_id,source_file,source_line,authority_level,category,epics,requirement_text,status,implementation_path,test_ref,evidence_ref,candidate_sha,actor,timestamp,supersedes_row_id
CW-RT-055,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,328,DOD,golden_case,E14,The contract is accepted only with evidence from one exact candidate SHA.,EVIDENCE_MISSING,,,"The three Golden Cases pass, but on an UNCOMMITTED worktree - no candidate SHA exists to accept against. Stamping is the coordinator's step at commit; until then this row cannot be PASS by its own wording.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-056,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,330,DOD,golden_case,E1|E8,Acceptance evidence: informational Teresa question creates zero Cases/Runs.,PARTIAL,server/src/services/caseWorkspace/caseIntakeService.ts,server/src/routes/caseWorkspace/__tests__/contract/idempotencyAndPagination.contract.pg.test.ts:399,"The BACKEND guarantee is proven: the propose step digests a work order and creates ZERO Cases (case_core count asserted 0 afterwards) and ZERO Runs (data.runCreated===false). There is no Teresa/chat caller yet, so 'an informational Teresa question' cannot be driven end to end.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-057,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,331,DOD,golden_case,E1,Acceptance evidence: direct Finance or Assessment work creates its canonical object and zero Case.,NOT_IMPLEMENTED,,,"No Finance or Assessment module writes through this API, so 'creates its canonical object and zero Case' has no path to exercise.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-058,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,332,DOD,golden_case,E1|E4|E8,Acceptance evidence: durable Teresa request creates exactly one Case and one canonical Run under request replay.,PARTIAL,server/src/services/caseWorkspace/caseIntakeService.ts,server/src/routes/caseWorkspace/__tests__/contract/idempotencyAndPagination.contract.pg.test.ts:399,"EXACTLY ONE CASE UNDER REPLAY: proven on real PG - confirm creates the Case (201, caseCreated true), the replayed confirm reuses it (200, same caseId, reused true) and case_core still holds exactly one row. ONE CANONICAL RUN: not provable, there is no canonical Run aggregate.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-059,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,334,DOD,golden_case,E4,Acceptance evidence: restart between NodeRuns resumes from persisted state.,NOT_IMPLEMENTED,,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"There is no NodeRun aggregate to restart between. The nearest durable-state evidence is Golden Case C (a wait re-read through a fresh app instance and out of band from Postgres), which is adjacent but does not satisfy this row.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-060,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,335,DOD,golden_case,E4|E5|E6,Acceptance evidence: duplicate dispatch/callback/approval produces one business effect.,PARTIAL,server/src/services/caseWorkspace/**,server/src/routes/caseWorkspace/__tests__/contract/idempotencyAndPagination.contract.pg.test.ts:87|server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73|server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseHappyPath.pg.test.ts:58,"DUPLICATE APPROVAL: one decision row per proposal, and the refused self-approval/stale attempts write none. DUPLICATE CALLBACK: a late resolve and a late human-input against an EXPIRED wait are both 409 and do not reactivate it. DUPLICATE COMMAND: a replayed append/createWait writes exactly one row (row counts, not response bodies). DUPLICATE DISPATCH: no dispatcher exists.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-061,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,336,DOD,golden_case,E2|E6,Acceptance evidence: stale plan/proposal/target version returns 409 and causes no mutation.,PARTIAL,server/src/services/caseWorkspace/**,server/src/routes/caseWorkspace/__tests__/contract/casesLifecycle.contract.pg.test.ts:404|server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseApprovalRefused.pg.test.ts:57,"STALE PLAN: 409 with graph_digest and version unchanged. STALE PROPOSAL: 409 PROPOSAL_STALE for a wrong payloadDigest AND for a wrong proposalVersion, with the proposal still PENDING_REVIEW at the same version and zero decision rows. STALE TARGET version (targetExpectedVersion against the mutated module object) is not exercised - there is no module object to mutate.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-062,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,337,DOD,golden_case,E5,Acceptance evidence: timer and human waits survive a simulated multi-day interval.,PARTIAL,server/src/services/caseWorkspace/waitSubscriptionService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"HUMAN wait: proven across a simulated multi-day interval expressed as data (dueAt 3 days overdue, timeoutAt 1 day overdue) rather than a sleep; it survives its creating request and is expired later by the scheduler. TIMER wait multi-day survival is not covered by this stream (claim/fencing races are covered by waitSubscriptionService.pg.test.ts).",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-063,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,338,DOD,golden_case,E10,"Acceptance evidence: late binding shows one module object and one Case link, never a copy.",PARTIAL,server/src/services/caseWorkspace/artifactLinkService.ts,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseHappyPath.pg.test.ts:58,"NEVER A COPY: proven - the Case holds a link carrying artifactType/artifactId/artifactRevision and an append-only revisionPinHistory; re-pinning to rev-2 updates the pointer and keeps the history, and no artifact content is stored on the Case. ONE MODULE OBJECT: the far end is an id only; no real module object exists to bind late to.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
CW-RT-064,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md,339,DOD,golden_case,E7|E14,"Acceptance evidence: UI, API and real database readback expose the same state and identifiers.",PARTIAL,server/src/routes/caseWorkspace/**,server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseHappyPath.pg.test.ts:58|server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseApprovalRefused.pg.test.ts:57|server/src/services/caseWorkspace/__tests__/goldenCases/goldenCaseWaitExpiry.pg.test.ts:73,"API and REAL DATABASE readback are proven identical for every identifier and state in the chain (caseId, planVersionId, runId, actionProposalId, linkId, measurementId; case_status, closure_type, proposal status, link revision), read out of band through a separate pool. The UI third of this row does not exist.",80d75f24ce01751639e572226f4e52b30503cd22,claude-stream-e,2026-08-10T11:58:00+02:00,
